p-0.04_11.0039_0 dE= 0.01105
p+0.04_11.0039_0 dE= 0.01092
actual force   predicted force   difference
0.00466 0.00000 0.00466
-0.00269 0.00000 -0.00269
0.00121 0.00000 0.00121
-0.00213 0.00000 -0.00213
0.00123 0.00000 0.00123
0.00165 0.00000 0.00165
-0.00002 0.00000 -0.00002
0.00032 0.00000 0.00032
-0.00085 0.00000 -0.00085
0.00344 0.00000 0.00344
-0.00199 0.00000 -0.00199
-0.00419 0.00000 -0.00419
-0.00028 0.00000 -0.00028
-0.00015 0.00000 -0.00015
-0.00085 0.00000 -0.00085
-0.00239 0.00000 -0.00239
0.00117 0.00000 0.00117
-0.00134 0.00000 -0.00134
-0.00221 0.00000 -0.00221
0.00148 0.00000 0.00148
-0.00134 0.00000 -0.00134
-0.00238 0.00000 -0.00238
0.00138 0.00000 0.00138
0.00072 0.00000 0.00072
0.00253 0.00000 0.00253
-0.00376 0.00000 -0.00376
0.00358 0.00000 0.00358
0.00323 0.00000 0.00323
0.00220 0.00000 0.00220
0.00391 0.00000 0.00391
0.00002 0.00000 0.00002
0.00083 0.00000 0.00083
-0.00126 0.00000 -0.00126
0.00399 202084546652679692133670584320.00000 -202084546652679692133670584320.00000
-0.00548 -116514258259771353710500773888.00000 116514258259771353710500773888.00000
-0.00224 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00268 202084499236387181650304303104.00000 -202084499236387181650304303104.00000
0.00387 -116514201734883365044453638144.00000 116514201734883365044453638144.00000
-0.00061 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
-0.00272 0.00000 -0.00272
0.00204 0.00000 0.00204
-0.00123 0.00000 -0.00123
-0.00183 0.00000 -0.00183
0.00035 0.00000 0.00035
0.00080 0.00000 0.00080
-0.00260 0.00000 -0.00260
0.00238 0.00000 0.00238
-0.00141 0.00000 -0.00141
0.00452 0.00000 0.00452
-0.00031 0.00000 -0.00031
0.00358 0.00000 0.00358
-0.00030 0.00000 -0.00030
-0.00390 0.00000 -0.00390
0.00391 0.00000 0.00391
-0.00202 202084466564790482872836292608.00000 -202084466564790482872836292608.00000
-0.00426 -116514258211524765891503849472.00000 116514258211524765891503849472.00000
-0.00061 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00674 202084539240124669154348236800.00000 -202084539240124669154348236800.00000
-0.00071 -116514271116251077238723706880.00000 116514271116251077238723706880.00000
-0.00224 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
-0.00071 0.00000 -0.00071
-0.00043 0.00000 -0.00043
-0.00126 0.00000 -0.00126
-0.00121 0.00000 -0.00121
0.00141 0.00000 0.00141
0.00080 0.00000 0.00080
-0.00313 0.00000 -0.00313
0.00134 0.00000 0.00134
-0.00123 0.00000 -0.00123
-0.00336 0.00000 -0.00336
0.00106 0.00000 0.00106
-0.00141 0.00000 -0.00141
0.00265 202418864116732273338984955904.00000 -202418864116732273338984955904.00000
-0.00153 -116707021501505372177565745152.00000 116707021501505372177565745152.00000
-0.01710 -116432673430908646590685957324800.00000 116432673430908646590685957324800.00000
-0.00344 0.00000 -0.00344
0.00198 0.00000 0.00198
0.00363 0.00000 0.00363
-0.00124 202084459152233876596769947648.00000 -202084459152233876596769947648.00000
-0.00003 -116514271068005386621215047680.00000 116514271068005386621215047680.00000
-0.00207 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00419 0.00000 0.00419
-0.00242 0.00000 -0.00242
-0.00339 0.00000 -0.00339
-0.00060 202084506648942345367115005952.00000 -202084506648942345367115005952.00000
0.00109 -116514188878401811928882085888.00000 116514188878401811928882085888.00000
-0.00207 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
-0.00263 0.00000 -0.00263
-0.00118 0.00000 -0.00118
0.00149 0.00000 0.00149
-0.00030 0.00000 -0.00030
0.00287 0.00000 0.00287
0.00149 0.00000 0.00149
0.00207 0.00000 0.00207
-0.00120 0.00000 -0.00120
0.00159 0.00000 0.00159
0.00181 0.00000 0.00181
-0.00105 0.00000 -0.00105
0.00352 0.00000 0.00352
-0.00229 0.00000 -0.00229
0.00132 0.00000 0.00132
0.00032 0.00000 0.00032
0.00006 0.00000 0.00006
-0.00263 0.00000 -0.00263
-0.00252 0.00000 -0.00252
0.00100 0.00000 0.00100
-0.00057 0.00000 -0.00057
0.00060 0.00000 0.00060
0.00230 0.00000 0.00230
0.00127 0.00000 0.00127
-0.00252 0.00000 -0.00252
0.00067 201149303994724506817682997248.00000 -201149303994724506817682997248.00000
0.00397 -115975395198060491116663275520.00000 115975395198060491116663275520.00000
-0.00172 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
-0.00310 201149282973210742383030829056.00000 -201149282973210742383030829056.00000
-0.00257 -115975431558743969024910032896.00000 115975431558743969024910032896.00000
-0.00172 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
-0.00142 0.00000 -0.00142
0.00082 0.00000 0.00082
0.00087 0.00000 0.00087
0.00524 0.00000 0.00524
-0.00210 0.00000 -0.00210
0.00110 0.00000 0.00110
-0.00035 199641485008668437285934465024.00000 -199641485008668437285934465024.00000
0.01864 -115105720643560932818487869440.00000 115105720643560932818487869440.00000
-0.00471 -116432673430908574533091919396864.00000 116432673430908574533091919396864.00000
-0.00008 0.00000 -0.00008
-0.00315 0.00000 -0.00315
-0.00230 0.00000 -0.00230
0.00382 202084546652677932915066142720.00000 -202084546652677932915066142720.00000
-0.00398 -116514258259769172279431266304.00000 116514258259769172279431266304.00000
-0.00130 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00285 202084499236388940868908744704.00000 -202084499236388940868908744704.00000
0.00571 -116514201734881183613384130560.00000 116514201734881183613384130560.00000
-0.00269 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
-0.01023 200909709681267260199282933760.00000 -200909709681267260199282933760.00000
0.01046 -115559849466478201260182863872.00000 115559849466478201260182863872.00000
-0.00744 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00014 0.00000 0.00014
-0.00396 0.00000 -0.00396
-0.00003 0.00000 -0.00003
-0.00173 200909667680414041884210495488.00000 -200909667680414041884210495488.00000
0.00123 -115559849441177330397336305664.00000 115559849441177330397336305664.00000
0.00152 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00443 0.00000 0.00443
-0.00349 0.00000 -0.00349
0.00110 0.00000 0.00110
-0.01632 199641511342544794467484827648.00000 -199641511342544794467484827648.00000
-0.00902 -115105675094141388928734724096.00000 115105675094141388928734724096.00000
-0.00471 -116432673430908574533091919396864.00000 116432673430908574533091919396864.00000
-0.00352 202084466564789462526045716480.00000 -202084466564789462526045716480.00000
-0.00533 -116514258211527404719410511872.00000 116514258211527404719410511872.00000
-0.00269 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00536 202084539240121924773325307904.00000 -202084539240121924773325307904.00000
-0.00132 -116514271116250655026258640896.00000 116514271116250655026258640896.00000
-0.00130 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00269 0.00000 0.00269
0.00164 0.00000 0.00164
-0.00230 0.00000 -0.00230
0.00350 0.00000 0.00350
0.00186 0.00000 0.00186
-0.00003 0.00000 -0.00003
-0.01418 200669612695720286396702785536.00000 -200669612695720286396702785536.00000
0.00363 -115975142609927163699399753728.00000 115975142609927163699399753728.00000
-0.00744 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
-0.00193 200669591716380832516282515456.00000 -200669591716380832516282515456.00000
0.00088 -115975106223942744559562260480.00000 115975106223942744559562260480.00000
0.00152 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00312 202418864116732273338984955904.00000 -202418864116732273338984955904.00000
-0.00180 -116707021501505372177565745152.00000 116707021501505372177565745152.00000
-0.01807 -116432673430908646590685957324800.00000 116432673430908646590685957324800.00000
-0.00303 199641537623589142945375191040.00000 -199641537623589142945375191040.00000
0.00175 -115105720675255771660107644928.00000 115105720675255771660107644928.00000
0.01183 -116432673430908574533091919396864.00000 116432673430908574533091919396864.00000
0.00076 202084459152234932127932612608.00000 -202084459152234932127932612608.00000
-0.00135 -116514271068007990264749621248.00000 116514271068007990264749621248.00000
-0.00142 -116432673430909781497792054689792.00000 116432673430909781497792054689792.00000
0.00053 0.00000 0.00053
