5.50193 -0.00006 0.00000
-2.75102 4.76478 0.00000
0.00000 0.00000 4.45641
1.00000 2.00000 6.00000
1.00000 2.00000 -6.00000
-3.00000 -1.00000 0.00000
-2.66669 -0.33331 1.24997 Ir
-1.33331 1.33331 -4.25036 Ir
-2.16669 -0.33331 1.25031 Ir
-1.16669 1.16669 -4.75019 Ir
-1.66669 1.16669 -4.74987 Ir
-1.83331 1.33331 -4.24971 Ir
-2.33331 -0.16669 1.75031 Ir
0.16669 0.83331 1.75002 Ir
-0.66669 1.66669 -3.75000 Ir
-0.33331 1.33331 -3.25000 Ir
-0.16669 1.66669 -3.75000 Ir
-0.16669 1.16669 -3.75000 Ir
-0.66669 1.16669 -3.75000 Ir
-0.83331 1.33331 -3.25000 Ir
-0.33331 1.83331 -3.25000 Ir
-0.83331 1.83331 -3.25000 Ir
-0.66669 0.66669 2.25000 Ir
0.66669 2.33331 -3.25000 Ir
-0.16669 0.66669 2.25000 Ir
0.83331 2.16669 -3.75000 Ir
0.33331 2.16669 -3.75000 Ir
0.16669 2.33331 -3.25000 Ir
-0.33331 0.83331 2.75000 Ir
-0.83331 0.83331 2.75000 Ir
-1.66669 1.66669 -3.75000 Ir
-1.32726 1.33331 -3.25000 Ir
-1.16669 1.66669 -3.75000 Ir
-1.16669 1.16669 -3.73504 Ir
-1.66669 1.16669 -3.75000 Ir
-1.83331 1.33331 -3.25000 Ir
-1.32632 1.84731 -3.25000 Ir
0.16669 0.83331 2.75000 Ir
-0.66669 1.66669 -2.75000 Ir
-0.31514 1.33331 -2.25000 Ir
-0.16669 1.66669 -2.75000 Ir
-0.16669 1.16669 -2.72756 Ir
-0.66669 1.16669 -2.75000 Ir
-0.83331 1.33331 -2.25000 Ir
-0.33331 1.83331 -2.25000 Ir
-0.83331 1.83331 -2.25000 Ir
0.33331 1.66669 -2.75000 Ir
-2.30908 0.33331 -2.25000 Ir
-2.16669 0.66669 -2.75000 Ir
-2.16669 0.16669 -2.75000 Ir
0.33331 1.16669 -2.75000 Ir
0.16669 1.33331 -2.25000 Ir
0.68418 1.86829 -2.25000 Ir
0.16669 1.83331 -2.25000 Ir
-1.66669 0.66669 3.25000 Ir
-0.30302 2.33331 -2.25000 Ir
-1.16669 0.66669 3.25000 Ir
-0.16669 2.16669 -2.75000 Ir
-0.66669 2.16669 -2.75000 Ir
-0.83331 2.33331 -2.25000 Ir
-1.33331 0.83331 3.75000 Ir
-1.83331 0.83331 3.75000 Ir
0.33331 2.66669 -2.75000 Ir
0.70304 2.33331 -2.25000 Ir
0.83331 2.66669 -2.75000 Ir
0.83331 2.16669 -2.70512 Ir
0.33331 2.16669 -2.75000 Ir
0.16669 2.33331 -2.25000 Ir
0.66669 2.83331 -2.25000 Ir
-0.83331 0.83331 3.75000 Ir
-1.66669 1.66669 -2.75000 Ir
-1.33331 1.33331 -2.25000 Ir
-1.16669 1.66669 -2.75000 Ir
-1.16669 1.16669 -2.78740 Ir
-1.66669 1.16669 -2.75000 Ir
-1.83331 1.33331 -2.25000 Ir
-1.35080 1.79834 -2.25000 Ir
1.16669 2.83331 -2.25000 Ir
-1.66669 0.66669 -1.75000 Ir
-1.33331 0.33331 -1.25000 Ir
-1.16669 0.66669 -1.75000 Ir
-1.16669 0.16669 -1.75000 Ir
-1.66669 0.16669 -1.75000 Ir
-1.83331 0.33331 -1.25000 Ir
-1.34731 0.80533 -1.25000 Ir
-1.83331 0.83331 -1.25000 Ir
-0.66669 1.66669 -1.75000 Ir
-0.35755 1.33331 -1.25000 Ir
-0.16669 1.66669 -1.75000 Ir
-0.16669 1.16669 -1.77992 Ir
-0.66669 1.16669 -1.75000 Ir
-0.83331 1.33331 -1.25000 Ir
-0.34731 1.80533 -1.25000 Ir
-0.83331 1.83331 -1.25000 Ir
0.33331 1.66669 -1.75000 Ir
-2.33331 0.33331 -1.25000 Ir
-2.16669 0.66669 -1.75000 Ir
-2.16669 0.16669 -1.75000 Ir
0.33331 1.16669 -1.75000 Ir
0.16669 1.33331 -1.25000 Ir
0.66669 1.83331 -1.25000 Ir
0.16669 1.83331 -1.25000 Ir
-1.66669 0.66669 4.25000 Ir
-0.35149 2.33331 -1.25000 Ir
-0.16669 2.66669 -1.75000 Ir
-0.16669 2.16669 -1.77244 Ir
-0.66669 2.16669 -1.75000 Ir
-0.83331 2.33331 -1.25000 Ir
-0.33331 2.83331 -1.25000 Ir
-1.83331 0.83331 4.75000 Ir
0.33331 2.66669 -1.75000 Ir
0.66669 2.33331 -1.25000 Ir
0.83331 2.66669 -1.75000 Ir
0.83331 2.16669 -1.76496 Ir
0.33331 2.16669 -1.75000 Ir
0.16669 2.33331 -1.25000 Ir
0.65969 2.81932 -1.25000 Ir
0.16669 2.83331 -1.25000 Ir
-1.66669 1.66669 -1.75000 Ir
-1.33331 1.33331 -1.25000 Ir
-1.16669 1.66669 -1.75000 Ir
-1.16669 1.16669 -1.75000 Ir
-1.66669 1.16669 -1.75000 Ir
-1.83331 1.33331 -1.25000 Ir
-1.33331 1.83331 -1.25000 Ir
1.16669 2.83331 -1.25000 Ir
0.33331 1.66669 4.25000 Ir
-1.33937 2.33331 -1.25000 Ir
-2.16669 0.66669 4.25000 Ir
-1.16669 2.16669 -1.75000 Ir
1.33331 3.16669 -1.75000 Ir
1.16669 3.33331 -1.25000 Ir
0.66669 1.83331 4.75000 Ir
0.16669 1.83331 4.75000 Ir
-1.66669 0.66669 -0.75000 Ir
-1.33331 0.33331 -0.25000 Ir
-1.16669 0.66669 -0.75000 Ir
-1.16669 0.16669 -0.75000 Ir
-1.66669 0.16669 -0.75000 Ir
-1.83331 0.33331 -0.25000 Ir
-1.33331 0.83331 -0.25000 Ir
-1.83331 0.83331 -0.25000 Ir
-0.66669 0.66669 -0.75000 Ir
-0.32726 0.33331 -0.25000 Ir
-0.16669 0.66669 -0.75000 Ir
-0.16669 0.16669 -0.74252 Ir
-0.66669 0.16669 -0.75000 Ir
-0.83331 0.33331 -0.25000 Ir
-0.33331 0.83331 -0.25000 Ir
-0.83331 0.83331 -0.25000 Ir
-0.66669 1.66669 -0.75000 Ir
-0.32120 1.33331 -0.25000 Ir
-0.16669 1.66669 -0.75000 Ir
-0.16669 1.16669 -0.73504 Ir
-0.66669 1.16669 -0.75000 Ir
-0.83331 1.33331 -0.25000 Ir
-0.32632 1.84731 -0.25000 Ir
-0.83331 1.83331 -0.25000 Ir
0.33331 1.66669 -0.75000 Ir
-2.33331 0.33331 -0.25000 Ir
-2.16669 0.66669 -0.75000 Ir
-2.16669 0.16669 -0.75000 Ir
0.33331 1.16669 -0.75000 Ir
0.16669 1.33331 -0.25000 Ir
0.67718 1.85430 -0.25000 Ir
0.16669 1.83331 -0.25000 Ir
-0.66669 2.66669 -0.75000 Ir
-0.31514 2.33331 -0.25000 Ir
-0.16669 2.66669 -0.75000 Ir
-0.16669 2.16669 -0.75000 Ir
-0.66669 2.16669 -0.75000 Ir
-0.83331 2.33331 -0.25000 Ir
-0.33331 2.83331 -0.25000 Ir
-0.83331 2.83331 -0.25000 Ir
0.33331 2.66669 -0.75000 Ir
0.69092 2.33331 -0.25000 Ir
0.83331 2.66669 -0.75000 Ir
0.83331 2.16669 -0.72008 Ir
0.33331 2.16669 -0.75000 Ir
0.16669 2.33331 -0.25000 Ir
0.68068 2.86130 -0.25000 Ir
0.16669 2.83331 -0.25000 Ir
-1.66669 1.66669 -0.75000 Ir
-1.33331 1.33331 -0.25000 Ir
-1.16669 1.66669 -0.75000 Ir
-1.16669 1.16669 -0.75000 Ir
-1.66669 1.16669 -0.75000 Ir
-1.83331 1.33331 -0.25000 Ir
-1.33331 1.83331 -0.25000 Ir
1.16669 2.83331 -0.25000 Ir
-1.66669 -0.33331 -0.75000 Ir
0.66669 3.33331 -0.25000 Ir
-0.16669 1.66669 5.25000 Ir
0.83331 3.16669 -0.71260 Ir
0.33331 3.16669 -0.75000 Ir
-0.83331 1.33331 5.75000 Ir
-1.31582 -0.13171 -0.25000 Ir
-1.83331 -0.16669 -0.25000 Ir
0.33331 1.66669 5.25000 Ir
-1.33331 2.33331 -0.25000 Ir
-1.16669 2.66669 -0.75000 Ir
-1.16669 2.16669 -0.75000 Ir
1.33331 3.16669 -0.75000 Ir
1.15457 3.33331 -0.25000 Ir
0.65619 1.81233 5.75000 Ir
-0.83331 -0.16669 -0.25000 Ir
-1.66669 0.66669 0.25000 Ir
-1.35149 0.33331 0.75000 Ir
-1.16669 0.66669 0.25000 Ir
-1.16669 0.16669 0.25000 Ir
-1.66669 0.16669 0.25000 Ir
-1.83331 0.33331 0.75000 Ir
-1.33331 0.83331 0.75000 Ir
-1.83331 0.83331 0.75000 Ir
-0.66669 0.66669 0.25000 Ir
-0.33331 0.33331 0.75000 Ir
-0.16669 0.66669 0.25000 Ir
-0.16669 0.16669 0.23504 Ir
-0.66669 0.16669 0.25000 Ir
-0.83331 0.33331 0.75000 Ir
-0.34031 0.81932 0.75000 Ir
-0.83331 0.83331 0.75000 Ir
-2.66669 -0.33331 0.25000 Ir
-1.34543 1.33331 -5.25000 Ir
-2.16669 -0.33331 0.25000 Ir
-0.16669 3.16669 0.25000 Ir
-1.66669 1.16669 -5.75000 Ir
-2.83331 -0.66669 0.75000 Ir
-2.33331 -0.16669 0.75000 Ir
0.16669 0.83331 0.75000 Ir
-0.66669 1.66669 0.25000 Ir
-0.33331 1.33331 0.75000 Ir
-0.16669 1.66669 0.25000 Ir
-0.16669 1.16669 0.24252 Ir
-0.66669 1.16669 0.25000 Ir
-0.83331 1.33331 0.75000 Ir
-0.33681 1.82632 0.75000 Ir
-0.83331 1.83331 0.75000 Ir
0.33331 1.66669 0.25000 Ir
-2.33937 0.33331 0.75000 Ir
-2.16669 0.66669 0.25000 Ir
-2.16669 0.16669 0.25000 Ir
0.33331 1.16669 0.25000 Ir
0.16669 1.33331 0.75000 Ir
0.66669 1.83331 0.75000 Ir
0.16669 1.83331 0.75000 Ir
-0.66669 2.66669 0.25000 Ir
-0.33331 2.33331 0.75000 Ir
-0.16669 2.66669 0.25000 Ir
-0.16669 2.16669 0.25000 Ir
-0.66669 2.16669 0.25000 Ir
-0.83331 2.33331 0.75000 Ir
-0.33331 2.83331 0.75000 Ir
-0.83331 2.83331 0.75000 Ir
0.33331 2.66669 0.25000 Ir
0.66669 2.33331 0.75000 Ir
0.83331 2.66669 0.25000 Ir
0.83331 2.16669 0.25000 Ir
0.33331 2.16669 0.25000 Ir
0.16669 2.33331 0.75000 Ir
0.66669 2.83331 0.75000 Ir
0.16669 2.83331 0.75000 Ir
-1.66669 1.66669 0.25000 Ir
-1.33331 1.33331 0.75000 Ir
-1.16669 1.66669 0.25000 Ir
-1.16669 1.16669 0.25748 Ir
-1.66669 1.16669 0.25000 Ir
-1.83331 1.33331 0.75000 Ir
-1.32982 1.84031 0.75000 Ir
1.16669 2.83331 0.75000 Ir
-1.66669 -0.33331 0.25000 Ir
0.67274 3.33331 0.75000 Ir
-0.16669 1.66669 -5.75000 Ir
0.83331 3.16669 0.25748 Ir
0.33331 3.16669 0.25000 Ir
-0.83331 1.33331 -5.25000 Ir
-1.33331 -0.16669 0.75000 Ir
-1.83331 -0.16669 0.75000 Ir
1.33331 3.66669 0.25000 Ir
-1.33331 2.33331 0.75000 Ir
-1.16669 2.66669 0.25000 Ir
-1.16669 2.16669 0.25000 Ir
1.33331 3.16669 0.25000 Ir
1.16669 3.33331 0.75000 Ir
0.67368 1.84731 -5.25000 Ir
0.16669 1.83331 -5.25000 Ir
-1.66669 0.66669 1.25000 Ir
-1.32120 0.33331 1.75000 Ir
-1.16669 0.66669 1.25000 Ir
-1.16669 0.16669 1.26496 Ir
-1.66669 0.16669 1.25000 Ir
-1.83331 0.33331 1.75000 Ir
-1.33331 0.83331 1.75000 Ir
-1.83331 0.83331 1.75000 Ir
-0.66669 0.66669 1.25000 Ir
0.66669 2.33331 -4.25000 Ir
-0.16669 0.66669 1.25000 Ir
0.83331 2.16669 -4.75000 Ir
-0.66669 0.16669 1.25000 Ir
-0.83331 0.33331 1.75000 Ir
-0.32282 0.85430 1.75000 Ir
-0.83331 0.83331 1.75000 Ir
-0.66669 1.66669 1.25000 Ir
-0.31514 1.33331 1.75000 Ir
-0.16669 1.66669 1.25000 Ir
-0.16669 1.16669 1.27244 Ir
-0.66669 1.16669 1.25000 Ir
-0.83331 1.33331 1.75000 Ir
-0.33331 1.83331 1.75000 Ir
-0.83331 1.83331 1.75000 Ir
0.33331 1.66669 1.25000 Ir
-2.33331 0.33331 1.75000 Ir
-2.16669 0.66669 1.25000 Ir
-2.16669 0.16669 1.25000 Ir
0.33331 1.16669 1.25000 Ir
0.16669 1.33331 1.75000 Ir
0.66669 1.83331 1.75000 Ir
0.16669 1.83331 1.75000 Ir
-0.66669 2.66669 1.24996 Ir
-0.33282 2.33331 1.75000 Ir
-0.16669 2.66669 1.24963 Ir
-0.16731 2.16669 1.25000 Ir
-0.66669 2.16669 1.24978 Ir
-0.83343 2.33331 1.75000 Ir
