p-0.04_11.0202_0 dE= 0.01175
p+0.04_11.0202_0 dE= 0.01141
p-0.04_11.0202_1 dE= 0.01094
p+0.04_11.0202_1 dE= 0.01084
actual force   predicted force   difference
0.32910 0.33073 -0.00164
0.34425 0.32568 0.01857
-0.34441 -0.34787 0.00346
0.01511 -0.00325 0.01836
-0.01323 -0.00274 -0.01049
0.00090 -0.00017 0.00107
-0.04149 -0.01869 -0.02280
-0.08347 -0.06326 -0.02021
-0.00038 -0.00017 -0.00021
-0.02168 -0.01962 -0.00205
-0.03268 -0.00999 -0.02269
0.01642 0.01591 0.00051
-0.03790 -0.04997 0.01208
0.04937 0.03625 0.01312
0.07485 0.06710 0.00775
-0.02179 -0.00274 -0.01905
0.01574 0.00359 0.01216
-0.00133 -0.00007 -0.00126
-0.04860 -0.04711 -0.00149
0.01101 0.01207 -0.00106
-0.00253 -0.00204 -0.00049
-0.00159 0.00014 -0.00174
-0.08259 -0.07697 -0.00562
0.08958 0.08040 0.00918
0.00202 0.00000 0.00202
0.02316 0.00000 0.02316
-0.00137 0.00000 -0.00137
0.01882 0.00000 0.01882
-0.01208 0.00000 -0.01208
-0.00206 0.00000 -0.00206
-0.01854 -0.00328 -0.01527
-0.01546 -0.00874 -0.00671
0.00655 0.00427 0.00228
0.00203 0.00354 -0.00150
-0.04017 -0.01909 -0.02108
0.01083 0.01045 0.00038
0.01894 0.00000 0.01894
0.01237 0.00000 0.01237
-0.00075 0.00000 -0.00075
-0.01973 0.00000 -0.01973
0.01321 0.00000 0.01321
-0.00126 0.00000 -0.00126
0.00026 0.00000 0.00026
-0.00010 0.00000 -0.00010
-0.00068 0.00000 -0.00068
-0.00874 -0.00715 -0.00159
-0.00657 -0.00464 -0.00193
0.00501 0.00374 0.00127
-0.00003 -0.00007 0.00004
0.02003 -0.00009 0.02012
-0.00171 -0.00305 0.00134
0.04225 0.02177 0.02048
-0.03706 -0.02313 -0.01393
0.00120 0.00025 0.00095
-0.02186 -0.00334 -0.01852
-0.01426 -0.00349 -0.01077
0.00099 -0.00019 0.00118
-0.00145 0.00000 -0.00145
-0.02217 0.00000 -0.02217
0.00424 0.00000 0.00424
0.01908 0.00000 0.01908
0.01165 0.00000 0.01165
-0.00301 0.00000 -0.00301
-0.01527 0.00000 -0.01527
0.01694 0.00000 0.01694
-0.00578 0.00000 -0.00578
0.00077 0.00000 0.00077
-0.00304 0.00000 -0.00304
-0.00069 0.00000 -0.00069
-0.00326 -0.00125 -0.00201
-0.00087 -0.00002 -0.00085
0.00400 0.00384 0.00016
-0.01254 -0.01179 -0.00075
0.02138 0.00141 0.01998
-0.00239 -0.00271 0.00032
0.02074 0.00000 0.02074
-0.01281 0.00000 -0.01281
0.00001 0.00000 0.00001
-0.02218 -0.00447 -0.01772
-0.01459 -0.00319 -0.01140
0.00008 -0.00019 0.00028
0.01067 0.01134 -0.00067
-0.01821 0.00349 -0.02169
-0.00136 -0.00150 0.00014
0.01403 -0.00485 0.01889
0.01318 0.00281 0.01037
-0.00165 -0.00214 0.00048
-0.02923 -0.00572 -0.02351
0.00846 -0.00115 0.00961
-0.01647 -0.01492 -0.00154
-0.01838 -0.02154 0.00316
-0.01341 -0.01178 -0.00163
-0.00122 -0.00204 0.00082
-0.00134 0.00000 -0.00134
0.00048 0.00000 0.00048
0.00145 0.00000 0.00145
0.00328 0.00258 0.00070
0.01792 -0.00135 0.01926
0.01244 0.01183 0.00061
0.02713 0.00584 0.02129
-0.02010 -0.00498 -0.01512
0.00683 0.00503 0.00180
-0.02415 -0.00776 -0.01639
-0.01124 -0.00625 -0.00499
0.00827 0.00564 0.00264
-0.00429 0.00000 -0.00429
-0.02036 0.00000 -0.02036
0.00107 0.00000 0.00107
0.01645 0.00000 0.01645
0.01070 0.00000 0.01070
-0.00121 0.00000 -0.00121
-0.01711 0.00000 -0.01711
0.01308 0.00000 0.01308
-0.00207 0.00000 -0.00207
-0.01021 -0.00835 -0.00186
-0.00193 -0.00053 -0.00141
0.00797 0.00748 0.00049
-0.00213 0.00000 -0.00213
0.00185 0.00000 0.00185
0.00075 0.00000 0.00075
0.00325 0.00000 0.00325
0.01919 0.00000 0.01919
-0.00283 0.00000 -0.00283
0.01805 0.00000 0.01805
-0.00954 0.00000 -0.00954
-0.00194 0.00000 -0.00194
-0.01941 0.00000 -0.01941
-0.01046 0.00000 -0.01046
-0.00088 0.00000 -0.00088
0.00341 0.00000 0.00341
-0.01320 0.00000 -0.01320
0.00157 0.00000 0.00157
0.02001 0.00000 0.02001
0.01238 0.00000 0.01238
-0.00236 0.00000 -0.00236
-0.01714 0.00000 -0.01714
0.01069 0.00000 0.01069
0.00045 0.00000 0.00045
-0.00194 -0.00518 0.00324
0.00429 0.00381 0.00048
0.00148 0.00088 0.00060
-0.00084 0.00000 -0.00084
0.00134 0.00000 0.00134
0.00066 0.00000 0.00066
-0.00048 0.00000 -0.00048
0.02254 0.00000 0.02254
-0.00316 0.00000 -0.00316
0.01801 0.00079 0.01722
-0.00784 -0.00038 -0.00746
0.00373 0.00379 -0.00006
-0.01559 0.00000 -0.01559
-0.01187 0.00000 -0.01187
-0.00160 0.00000 -0.00160
-0.00080 0.00000 -0.00080
-0.02234 0.00000 -0.02234
0.00292 0.00000 0.00292
0.01986 0.00173 0.01813
0.01073 -0.00004 0.01077
-0.00237 -0.00360 0.00123
-0.02093 -0.00103 -0.01990
0.00580 -0.00405 0.00985
0.00111 0.00036 0.00075
0.00186 0.00000 0.00186
0.00171 0.00000 0.00171
0.00096 0.00000 0.00096
-0.00151 0.00000 -0.00151
0.00155 0.00000 0.00155
-0.00219 0.00000 -0.00219
-0.00394 -0.00276 -0.00118
0.01732 -0.00277 0.02009
-0.00309 -0.00305 -0.00004
0.02020 0.00000 0.02020
-0.00995 0.00000 -0.00995
-0.00002 0.00000 -0.00002
-0.02359 -0.00221 -0.02138
-0.02606 -0.00962 -0.01644
0.00470 0.00508 -0.00038
0.00670 0.00000 0.00670
-0.02258 0.00000 -0.02258
-0.00360 0.00000 -0.00360
0.01812 0.00000 0.01812
0.01345 0.00000 0.01345
0.00039 0.00000 0.00039
-0.02046 0.00000 -0.02046
0.01123 0.00000 0.01123
0.00090 0.00000 0.00090
0.00364 0.00000 0.00364
-0.00063 0.00000 -0.00063
-0.00155 0.00000 -0.00155
0.00070 0.00000 0.00070
0.00669 0.00000 0.00669
-0.00601 0.00000 -0.00601
-0.00027 -0.00044 0.00017
0.01494 -0.00508 0.02002
-0.00273 -0.00305 0.00032
0.01272 -0.00732 0.02004
-0.01708 -0.00560 -0.01149
0.00007 -0.00019 0.00027
-0.05257 -0.03848 -0.01409
-0.03945 -0.03571 -0.00374
0.00084 0.00025 0.00058
0.00259 0.00354 -0.00095
-0.02151 0.00062 -0.02214
-0.00841 -0.00930 0.00089
0.01874 0.00000 0.01874
0.01272 0.00000 0.01272
-0.00007 0.00000 -0.00007
-0.01975 0.00000 -0.01975
0.01244 0.00000 0.01244
-0.00023 0.00000 -0.00023
-0.00108 -0.00330 0.00223
-0.00761 -0.00687 -0.00074
0.00048 0.00001 0.00047
-0.00528 -0.00310 -0.00218
-0.00340 -0.00499 0.00159
0.00014 -0.00150 0.00164
0.00154 0.00258 -0.00104
0.01946 -0.00088 0.02035
0.01303 0.01230 0.00074
0.02346 0.00508 0.01838
-0.01359 -0.00383 -0.00975
0.00359 0.00441 -0.00082
-0.02756 -0.00701 -0.02055
-0.02218 -0.00511 -0.01707
0.00176 0.00380 -0.00203
-0.00150 -0.00218 0.00068
-0.01889 0.00220 -0.02109
-0.01282 -0.01371 0.00090
0.04437 0.02938 0.01499
-0.00232 -0.01281 0.01049
0.02752 0.02935 -0.00184
-0.02276 -0.00104 -0.02172
0.00922 -0.00198 0.01120
0.00238 0.00110 0.00128
0.00421 -0.00073 0.00493
-0.00170 -0.00050 -0.00120
0.00026 0.00051 -0.00025
-0.00247 0.00014 -0.00261
0.01049 0.00833 0.00216
0.00567 0.00472 0.00094
-0.00874 -0.00896 0.00022
0.01828 -0.00142 0.01969
-0.00180 -0.00271 0.00092
0.01205 -0.00762 0.01967
-0.01606 -0.00448 -0.01158
0.00039 -0.00019 0.00059
-0.01581 0.00000 -0.01581
-0.00998 0.00000 -0.00998
-0.00097 0.00000 -0.00097
-0.00729 -0.00610 -0.00119
-0.00720 0.01568 -0.02288
0.00433 0.00370 0.00063
0.01059 -0.00655 0.01714
0.00778 -0.00275 0.01053
0.00231 0.00316 -0.00085
-0.09732 -0.08507 -0.01225
-0.03366 -0.05021 0.01655
0.09725 0.11138 -0.01413
-0.01424 -0.01280 -0.00144
0.00161 0.00384 -0.00223
0.00747 0.00711 0.00036
0.00165 0.00000 0.00165
0.00172 0.00000 0.00172
-0.00294 0.00000 -0.00294
0.00241 0.00225 0.00015
0.01687 -0.00240 0.01927
-0.00247 -0.00305 0.00058
0.02313 0.00186 0.02127
-0.01488 0.00050 -0.01538
0.00682 0.00556 0.00126
-0.01870 0.00000 -0.01870
-0.00931 0.00000 -0.00931
-0.00101 0.00000 -0.00101
-0.00019 0.00000 -0.00019
-0.02357 0.00000 -0.02357
0.00409 0.00000 0.00409
0.01659 -0.00003 0.01662
0.00683 -0.00344 0.01027
0.00452 0.00463 -0.00010
-0.02164 0.00073 -0.02237
0.00175 -0.00746 0.00920
0.00372 0.00066 0.00306
-0.00263 -0.00395 0.00132
-0.00754 -0.00684 -0.00069
0.00021 0.00033 -0.00012
0.00136 0.00280 -0.00144
0.00299 0.00032 0.00267
-0.00183 -0.00160 -0.00023
-0.33264 -0.33218 -0.00046
-0.30508 -0.32501 0.01993
0.35017 0.34787 0.00231
0.02280 0.00332 0.01949
-0.00630 0.00254 -0.00884
-0.00060 0.00017 -0.00078
-0.00332 0.01872 -0.02204
0.04453 0.06333 -0.01879
-0.00049 0.00017 -0.00066
0.01988 0.01963 0.00025
-0.00924 0.01002 -0.01926
-0.01614 -0.01594 -0.00021
0.06575 0.05013 0.01562
-0.02309 -0.03635 0.01326
-0.06241 -0.06733 0.00492
-0.02008 0.00276 -0.02284
0.00711 -0.00359 0.01070
0.00152 0.00006 0.00146
0.04633 0.04723 -0.00090
-0.01201 -0.01212 0.00012
0.00144 0.00204 -0.00060
-0.00295 -0.00014 -0.00281
0.07096 0.07690 -0.00594
-0.07126 -0.08032 0.00906
0.00067 0.00000 0.00067
0.01886 0.00000 0.01886
0.00120 0.00000 0.00120
0.01994 0.00000 0.01994
-0.01019 0.00000 -0.01019
0.00170 0.00000 0.00170
-0.01779 0.00327 -0.02107
-0.00781 0.00875 -0.01656
-0.00648 -0.00427 -0.00221
-0.00256 -0.00356 0.00100
-0.00013 0.01907 -0.01920
-0.01060 -0.01043 -0.00017
0.01747 0.00000 0.01747
0.00882 0.00000 0.00882
0.00090 0.00000 0.00090
-0.02174 0.00000 -0.02174
0.00921 0.00000 0.00921
0.00106 0.00000 0.00106
0.00133 0.00000 0.00133
-0.00012 0.00000 -0.00012
0.00067 0.00000 0.00067
0.00513 0.00716 -0.00202
0.00828 0.00465 0.00364
-0.00566 -0.00375 -0.00191
0.00042 0.00007 0.00035
0.02194 0.00007 0.02187
0.00176 0.00305 -0.00129
0.00008 -0.02167 0.02175
0.01017 0.02305 -0.01288
-0.00056 -0.00025 -0.00030
-0.01365 0.00337 -0.01702
-0.00682 0.00348 -0.01030
-0.00104 0.00019 -0.00124
0.00238 0.00000 0.00238
-0.02134 0.00000 -0.02134
-0.00455 0.00000 -0.00455
0.01495 0.00000 0.01495
0.00988 0.00000 0.00988
0.00311 0.00000 0.00311
-0.02450 0.00000 -0.02450
0.00809 0.00000 0.00809
0.00614 0.00000 0.00614
0.00192 0.00000 0.00192
0.00023 0.00000 0.00023
0.00098 0.00000 0.00098
0.00060 0.00127 -0.00066
0.00370 0.00001 0.00369
-0.00335 -0.00385 0.00050
0.01281 0.01183 0.00098
0.02048 -0.00141 0.02189
0.00290 0.00271 0.00019
0.01889 0.00000 0.01889
-0.01195 0.00000 -0.01195
-0.00005 0.00000 -0.00005
-0.01181 0.00450 -0.01631
-0.00628 0.00318 -0.00946
-0.00004 0.00019 -0.00023
-0.01005 -0.01131 0.00126
-0.02516 -0.00351 -0.02165
0.00102 0.00155 -0.00053
0.02204 0.00486 0.01717
0.00871 -0.00281 0.01152
0.00167 0.00214 -0.00046
-0.01640 0.00581 -0.02221
0.01326 0.00122 0.01204
0.01225 0.01506 -0.00281
0.02588 0.02171 0.00417
0.01110 0.01184 -0.00074
0.00096 0.00204 -0.00109
-0.00136 0.00000 -0.00136
0.00297 0.00000 0.00297
-0.00166 0.00000 -0.00166
-0.00159 -0.00259 0.00100
0.02240 0.00134 0.02106
-0.01280 -0.01183 -0.00097
0.01480 -0.00582 0.02062
-0.00263 0.00496 -0.00759
-0.00577 -0.00503 -0.00074
-0.01303 0.00775 -0.02078
-0.00932 0.00624 -0.01556
-0.00873 -0.00564 -0.00309
0.00209 0.00000 0.00209
-0.02275 0.00000 -0.02275
-0.00147 0.00000 -0.00147
0.01793 0.00000 0.01793
0.01294 0.00000 0.01294
0.00123 0.00000 0.00123
-0.02186 0.00000 -0.02186
0.00978 0.00000 0.00978
0.00192 0.00000 0.00192
0.01526 0.00838 0.00688
0.00177 0.00054 0.00123
-0.00804 -0.00750 -0.00054
0.00058 0.00000 0.00058
-0.00123 0.00000 -0.00123
-0.00078 0.00000 -0.00078
-0.00062 0.00000 -0.00062
0.02305 0.00000 0.02305
0.00273 0.00000 0.00273
0.02052 0.00000 0.02052
-0.01301 0.00000 -0.01301
0.00201 0.00000 0.00201
-0.01712 0.00000 -0.01712
-0.01288 0.00000 -0.01288
0.00111 0.00000 0.00111
-0.00351 0.00000 -0.00351
-0.02835 0.00000 -0.02835
-0.00142 0.00000 -0.00142
0.01795 0.00000 0.01795
0.00883 0.00000 0.00883
0.00238 0.00000 0.00238
