5.49467 -0.00004 0.00000
-2.74737 4.75850 0.00000
0.00000 0.00000 4.40450
-2.00000 0.00000 1.00000
0.00000 -2.00000 1.00000
2.00000 2.00000 1.00000
-1.16714 -1.33425 2.25000 Ir
-1.16715 0.16715 1.25000 Ir
-1.66574 0.16714 1.25000 Ir
0.16714 0.33426 0.75000 Ir
0.66575 0.83286 0.75000 Ir
0.16715 -1.16715 1.75000 Ir
0.33332 -1.33332 1.25000 Ru
0.66668 0.33332 0.75000 Ru
-0.16714 -0.33425 1.25000 Ir
-0.16715 -0.83285 1.25000 Ir
-0.66574 -0.83286 1.25000 Ir
-0.83286 -0.66574 1.75000 Ir
-0.33425 -0.16714 1.75000 Ir
-0.83285 -0.16715 1.75000 Ir
-0.66668 -0.33332 1.25000 Ru
-0.33332 -0.66668 1.75000 Ru
0.83286 -0.33425 1.25000 Ir
-1.16715 -0.83285 2.25000 Ir
0.33426 -0.83286 1.25000 Ir
0.16714 -0.66574 1.75000 Ir
0.66575 -0.16714 1.75000 Ir
0.16715 -0.16715 1.75000 Ir
0.33332 -0.33332 1.25000 Ru
0.66668 -0.66668 1.75000 Ru
-0.16714 0.66575 1.25000 Ir
-0.16715 0.16715 1.25000 Ir
-0.66575 0.16714 1.25000 Ir
-0.83286 0.33426 1.75000 Ir
-0.33426 0.83286 1.75000 Ir
-0.83285 0.83285 1.75000 Ir
-0.66668 0.66668 1.25000 Ru
-0.33332 0.33332 1.75000 Ru
0.83286 0.66575 1.25000 Ir
0.83285 0.16715 1.25000 Ir
0.33426 0.16714 1.25000 Ir
0.16714 0.33426 1.75000 Ir
0.66575 0.83286 1.75000 Ir
0.16715 0.83285 1.75000 Ir
0.33332 0.66668 1.25000 Ru
0.66668 0.33332 1.75000 Ru
-0.16714 0.66575 2.25000 Ir
-0.16715 0.16715 2.25000 Ir
-0.66574 0.16714 2.25000 Ir
1.16714 0.33426 1.75000 Ir
1.66574 0.83286 1.75000 Ir
1.16715 0.83285 1.75000 Ir
1.33332 0.66668 1.25000 Ru
1.66668 0.33332 1.75000 Ru
0.83286 -0.33425 2.25000 Ir
0.83285 1.16715 1.25000 Ir
0.33425 1.16714 1.25000 Ir
0.16714 1.33426 1.75000 Ir
0.66574 1.83286 1.75000 Ir
0.16715 -0.16715 2.75000 Ir
0.33332 -0.33332 2.25000 Ru
0.66668 1.33332 1.75000 Ru
1.83286 1.66575 1.25000 Ir
-0.16715 1.16715 2.25000 Ir
1.33425 1.16714 1.25000 Ir
1.16714 1.33426 1.75000 Ir
-0.33425 -0.16714 0.75000 Ir
-0.83285 -0.16715 0.75000 Ir
1.33332 1.66668 1.25000 Ru
-0.33332 -0.66668 0.75000 Ru
-0.16714 -0.33425 2.25000 Ir
-0.16715 -0.83285 2.25000 Ir
-0.66575 -0.83286 2.25000 Ir
1.16714 -0.66574 1.75000 Ir
-0.33425 -0.16714 2.75000 Ir
1.16715 -0.16715 1.75000 Ir
-0.66668 -0.33332 2.25000 Ru
-0.33332 1.33332 1.75000 Ru
0.83286 0.66575 2.25000 Ir
0.83285 0.16715 2.25000 Ir
0.33425 0.16714 2.25000 Ir
0.16714 0.33426 2.75000 Ir
-1.33425 -1.16714 1.75000 Ir
-1.83285 -1.16715 1.75000 Ir
0.33332 0.66668 2.25000 Ru
-1.33332 -1.66668 1.75000 Ru
-0.16714 -1.33425 1.25000 Ir
-0.16715 -1.83285 1.25000 Ir
1.33426 0.16714 2.25000 Ir
-0.83286 -1.66574 1.75000 Ir
-0.33425 -1.16714 1.75000 Ir
-0.83285 -1.16715 1.75000 Ir
-0.66668 -1.33332 1.25000 Ru
-0.33332 0.33332 0.75000 Ru
-1.16714 -0.33425 1.25000 Ir
-1.16715 -0.83285 1.25000 Ir
0.33426 1.16714 2.25000 Ir
0.16714 -0.66574 0.75000 Ir
-1.33425 -0.16714 1.75000 Ir
0.16715 -0.16715 0.75000 Ir
-1.66668 -0.33332 1.25000 Ru
-1.33332 -0.66668 1.75000 Ru
