p-0.04_15.3004_0 dE= 0.01283
p+0.04_15.3004_0 dE= 0.01287
p-0.04_15.3004_1 dE= 0.01190
p+0.04_15.3004_1 dE= 0.01200
actual force   predicted force   difference
0.00069 0.00000 0.00069
-0.00273 -0.00209 -0.00064
-0.02087 -0.01787 -0.00300
-0.00089 0.00034 -0.00124
0.00228 0.00254 -0.00027
-0.00244 -0.00546 0.00303
-0.00223 -0.00278 0.00055
-0.00743 -0.00067 -0.00676
-0.00028 0.00157 -0.00185
-0.00531 -0.00073 -0.00459
0.00316 0.00008 0.00307
-0.00362 -0.00155 -0.00207
0.00940 0.00338 0.00602
0.00415 0.00093 0.00323
-0.00236 -0.00119 -0.00117
0.00014 0.00000 0.00014
0.00565 -0.00089 0.00654
0.00272 0.00098 0.00175
-0.00687 -0.00060 -0.00627
-0.00370 -0.00085 -0.00285
0.00254 0.00106 0.00148
0.00566 0.00060 0.00506
-0.00349 -0.00085 -0.00264
0.00253 0.00106 0.00147
0.00070 0.00000 0.00070
-0.00074 0.00000 -0.00074
-0.00308 0.00000 -0.00308
0.00001 0.00057 -0.00056
-0.00049 -0.00066 0.00018
0.00376 0.00067 0.00308
0.00053 0.00000 0.00053
-0.00686 0.00000 -0.00686
-0.00174 0.00000 -0.00174
-0.00328 0.00140 -0.00468
0.00226 -0.00117 0.00342
-0.00215 -0.00054 -0.00161
0.00638 0.00000 0.00638
0.00330 0.00000 0.00330
-0.00286 0.00000 -0.00286
0.00017 0.00000 0.00017
0.00784 0.00000 0.00784
0.00294 0.00000 0.00294
-0.00660 0.00000 -0.00660
-0.00333 0.00000 -0.00333
0.00123 0.00000 0.00123
0.00530 0.00000 0.00530
-0.00329 0.00000 -0.00329
0.00126 0.00000 0.00126
-0.00088 -0.00171 0.00083
0.00047 0.00019 0.00028
-0.00434 -0.00135 -0.00299
-0.00057 0.00000 -0.00057
-0.00063 0.00000 -0.00063
0.00321 0.00000 0.00321
0.00086 0.00000 0.00086
-0.00566 0.00000 -0.00566
-0.00112 0.00000 -0.00112
-0.00392 0.00080 -0.00473
0.00291 0.00030 0.00261
-0.00184 0.00035 -0.00219
0.00549 -0.00080 0.00629
0.00282 0.00030 0.00252
-0.00171 0.00035 -0.00206
0.00053 0.00050 0.00003
0.00722 0.00055 0.00667
0.00284 0.00087 0.00197
-0.00520 0.00046 -0.00566
-0.00328 0.00003 -0.00330
0.00194 0.00034 0.00161
0.00319 -0.00144 0.00464
-0.00606 -0.00335 -0.00271
-0.00101 -0.00291 0.00190
0.00199 0.00171 0.00028
0.00035 0.00019 0.00016
-0.00436 -0.00135 -0.00301
0.00272 0.00345 -0.00074
0.00873 0.00842 0.00030
0.00615 0.00260 0.00355
-0.01277 -0.01533 0.00255
-0.00741 -0.00153 -0.00589
-0.00476 -0.00310 -0.00165
-0.01073 -0.00444 -0.00629
-0.03699 -0.03570 -0.00129
-0.00463 -0.00310 -0.00153
0.00488 -0.00067 0.00555
-0.00415 -0.00704 0.00288
-0.00111 0.00091 -0.00202
-0.00138 -0.00050 -0.00088
0.00717 0.00055 0.00662
0.00272 0.00087 0.00186
-0.00463 0.00144 -0.00607
-0.00601 -0.00335 -0.00266
-0.00101 -0.00291 0.00191
0.00429 -0.00046 0.00475
-0.00272 0.00003 -0.00275
0.00175 0.00034 0.00141
0.00061 -0.00001 0.00062
0.45308 0.45148 0.00160
0.45406 0.45662 -0.00256
