p-0.04_10.8917_0 dE= 0.01140
p+0.04_10.8917_0 dE= 0.01133
p_uns_0.2_1000_110 dE= 63.66369
actual force   predicted force   difference
0.00115 0.00000 0.00115
-0.00067 0.00000 -0.00067
-0.00044 0.00000 -0.00044
-0.00172 0.00000 -0.00172
0.00100 0.00000 0.00100
0.00185 0.00000 0.00185
0.00158 0.00000 0.00158
-0.00193 0.00000 -0.00193
-0.00144 0.00000 -0.00144
0.00054 0.00000 0.00054
-0.00031 0.00000 -0.00031
0.00095 0.00000 0.00095
0.00246 0.00000 0.00246
-0.00040 0.00000 -0.00040
-0.00144 0.00000 -0.00144
-0.00194 0.00000 -0.00194
-0.00022 0.00000 -0.00022
-0.00165 0.00000 -0.00165
-0.00078 0.00000 -0.00078
0.00179 0.00000 0.00179
-0.00165 0.00000 -0.00165
-0.00182 0.00000 -0.00182
0.00105 0.00000 0.00105
-0.00226 0.00000 -0.00226
0.00182 0.00000 0.00182
-0.00110 0.00000 -0.00110
-0.00098 0.00000 -0.00098
0.00044 0.00000 0.00044
0.00086 0.00000 0.00086
-0.01534 0.00000 -0.01534
0.00158 0.00000 0.00158
-0.00226 0.00000 -0.00226
-0.00121 0.00000 -0.00121
0.00208 0.00000 0.00208
-0.00285 0.00000 -0.00285
0.00273 0.00000 0.00273
0.00120 0.00000 0.00120
-0.00118 0.00000 -0.00118
0.00534 0.00000 0.00534
-0.00210 0.00000 -0.00210
0.00032 0.00000 0.00032
-0.00136 0.00000 -0.00136
-0.00168 0.00000 -0.00168
0.00126 0.00000 0.00126
-0.00225 0.00000 -0.00225
-0.00002 0.00000 -0.00002
0.00042 0.00000 0.00042
-0.00151 0.00000 -0.00151
0.00186 0.00000 0.00186
-0.00103 0.00000 -0.00103
-0.00098 0.00000 -0.00098
-0.00052 0.00000 -0.00052
-0.00081 0.00000 -0.00081
-0.01534 0.00000 -0.01534
0.00162 0.00000 0.00162
-0.00045 0.00000 -0.00045
0.00534 0.00000 0.00534
0.00351 0.00000 0.00351
-0.00038 0.00000 -0.00038
0.00273 0.00000 0.00273
0.00275 0.00000 0.00275
-0.00024 0.00000 -0.00024
-0.00121 0.00000 -0.00121
-0.00193 0.00000 -0.00193
0.00082 0.00000 0.00082
-0.00225 0.00000 -0.00225
-0.00133 0.00000 -0.00133
0.00166 0.00000 0.00166
-0.00136 0.00000 -0.00136
-0.00038 0.00000 -0.00038
-0.00020 0.00000 -0.00020
-0.00151 0.00000 -0.00151
0.00196 0.00000 0.00196
-0.00113 0.00000 -0.00113
-0.02829 0.00000 -0.02829
-0.00204 0.00000 -0.00204
0.00118 0.00000 0.00118
-0.01471 0.00000 -0.01471
-0.00049 0.00000 -0.00049
0.00039 0.00000 0.00039
0.00281 0.00000 0.00281
0.00026 0.00000 0.00026
-0.00015 0.00000 -0.00015
0.00060 0.00000 0.00060
-0.00058 0.00000 -0.00058
0.00023 0.00000 0.00023
0.00281 0.00000 0.00281
-0.00198 0.00000 -0.00198
0.00081 0.00000 0.00081
0.00082 0.00000 0.00082
-0.00169 0.00000 -0.00169
0.00131 0.00000 0.00131
0.00082 0.00000 0.00082
-0.00153 0.00000 -0.00153
0.00088 0.00000 0.00088
0.00034 0.00000 0.00034
0.00163 0.00000 0.00163
-0.00094 0.00000 -0.00094
-0.00097 0.00000 -0.00097
0.00043 0.00000 0.00043
-0.00025 0.00000 -0.00025
-0.00200 0.00000 -0.00200
0.00160 0.00000 0.00160
0.00029 0.00000 0.00029
-0.00061 0.00000 -0.00061
0.00250 0.00000 0.00250
-0.00144 0.00000 -0.00144
-0.00260 0.00000 -0.00260
0.00055 0.00000 0.00055
-0.00153 0.00000 -0.00153
-0.00061 0.00000 -0.00061
-0.00039 0.00000 -0.00039
-0.00023 0.00000 -0.00023
0.00179 0.00000 0.00179
0.00001 0.00000 0.00001
0.00045 0.00000 0.00045
0.00179 0.00000 0.00179
-0.00016 0.00000 -0.00016
0.00009 0.00000 0.00009
0.00376 0.00000 0.00376
0.00145 0.00000 0.00145
-0.00172 0.00000 -0.00172
-0.00055 0.00000 -0.00055
0.00531 0.00000 0.00531
0.01694 0.00000 0.01694
-0.01205 0.00000 -0.01205
0.00173 0.00000 0.00173
0.00049 0.00000 0.00049
-0.00075 0.00000 -0.00075
0.00121 0.00000 0.00121
-0.00004 0.00000 -0.00004
0.00444 0.00000 0.00444
0.00193 0.00000 0.00193
0.00215 0.00000 0.00215
0.00137 0.00000 0.00137
-0.00681 0.00000 -0.00681
0.00435 0.00000 0.00435
-0.00213 0.00000 -0.00213
-0.00288 0.00000 -0.00288
0.00244 0.00000 0.00244
0.00229 0.00000 0.00229
-0.00400 0.00000 -0.00400
0.00301 0.00000 0.00301
-0.00018 0.00000 -0.00018
0.00222 0.00000 0.00222
-0.00039 0.00000 -0.00039
-0.00055 0.00000 -0.00055
-0.01202 0.00000 -0.01202
-0.01307 0.00000 -0.01307
-0.01205 0.00000 -0.01205
-0.00090 0.00000 -0.00090
-0.00275 0.00000 -0.00275
0.00137 0.00000 0.00137
0.00064 0.00000 0.00064
-0.00103 0.00000 -0.00103
0.00444 0.00000 0.00444
0.00044 0.00000 0.00044
-0.00174 0.00000 -0.00174
-0.00075 0.00000 -0.00075
-0.00355 0.00000 -0.00355
0.00127 0.00000 0.00127
0.00229 0.00000 0.00229
-0.00717 0.00000 -0.00717
0.00372 0.00000 0.00372
-0.00213 0.00000 -0.00213
-0.00461 0.00000 -0.00461
0.00195 0.00000 0.00195
-0.00018 0.00000 -0.00018
0.00200 0.00000 0.00200
-0.00115 0.00000 -0.00115
-0.02785 0.00000 -0.02785
0.00230 0.00000 0.00230
-0.00133 0.00000 -0.00133
0.00595 0.00000 0.00595
0.00195 0.00000 0.00195
-0.00220 0.00000 -0.00220
0.00347 0.00000 0.00347
0.00257 0.00000 0.00257
-0.00148 0.00000 -0.00148
-0.00246 0.00000 -0.00246
0.00288 0.00000 0.00288
-0.00059 0.00000 -0.00059
0.00347 0.00000 0.00347
-0.00982 0.12019 -0.13000
-0.02713 -0.47791 0.45079
-0.01703 -0.35560 0.33857
0.01859 0.47414 -0.45555
0.02207 0.13492 -0.11285
-0.01703 -0.35593 0.33889
-0.09182 -0.81598 0.72415
0.05301 0.47106 -0.41804
-0.10171 -1.30546 1.20375
0.00014 0.00000 0.00014
-0.00008 0.00000 -0.00008
-0.00290 0.00000 -0.00290
0.00043 0.00000 0.00043
-0.00025 0.00000 -0.00025
-0.00220 0.00000 -0.00220
-0.00146 0.00000 -0.00146
0.00209 0.00000 0.00209
-0.00067 0.00000 -0.00067
-0.00390 0.00000 -0.00390
0.00225 0.00000 0.00225
-0.00066 0.00000 -0.00066
-0.00254 0.00000 -0.00254
0.00022 0.00000 0.00022
-0.00067 0.00000 -0.00067
-0.00404 0.00000 -0.00404
0.00068 0.00000 0.00068
-0.00283 0.00000 -0.00283
-0.00261 0.00000 -0.00261
0.00315 0.00000 0.00315
-0.00283 0.00000 -0.00283
-0.00157 0.00000 -0.00157
0.00090 0.00000 0.00090
0.00033 0.00000 0.00033
-0.01929 0.00000 -0.01929
0.03354 0.00000 0.03354
-0.00292 0.00000 -0.00292
0.00509 0.00000 0.00509
-0.00685 0.00000 -0.00685
0.00027 0.00000 0.00027
-0.00183 0.00000 -0.00183
0.00221 0.00000 0.00221
-0.00066 0.00000 -0.00066
0.00412 0.17077 -0.16665
0.00942 -0.03872 0.04814
-0.00197 0.12247 -0.12443
-0.02454 -0.40217 0.37763
0.01849 0.77441 -0.75592
-0.00141 0.12247 -0.12387
-0.00244 0.00000 -0.00244
0.00443 0.00000 0.00443
-0.00002 0.00000 -0.00002
-0.00143 0.00000 -0.00143
0.00335 0.00000 0.00335
0.00182 0.00000 0.00182
-0.00142 0.00000 -0.00142
0.00525 0.00000 0.00525
-0.00088 0.00000 -0.00088
-0.03869 0.00000 -0.03869
-0.00007 0.00000 -0.00007
-0.00292 0.00000 -0.00292
0.00848 0.00000 0.00848
-0.00098 0.00000 -0.00098
0.00027 0.00000 0.00027
-0.02829 -0.87141 0.84313
0.01201 -0.03901 0.05103
-0.00141 0.12247 -0.12387
-0.00610 0.11920 -0.12530
-0.00828 -0.12798 0.11971
-0.00197 0.12247 -0.12443
