5.44586 -0.00007 0.00000
-2.72299 4.71622 0.00000
0.00000 0.00000 4.29331
0.00000 -2.00000 0.00000
-2.00000 0.00000 0.00000
0.00000 0.00000 -3.00000
-0.66668 -0.33332 -1.75000 Ru
-0.33332 -0.66668 -1.25000 Ru
-0.16668 -0.33332 -1.75000 Ru
-0.16668 -0.83332 -1.75000 Ru
-0.66668 -0.83332 -1.75000 Ru
-0.83332 -0.66668 -1.25000 Ru
-0.33332 -0.16668 -1.25000 Ru
-0.83332 -0.16668 -1.25000 Ru
-1.66668 -0.33332 -1.75000 Ru
-1.33332 -0.66668 -1.25000 Ru
-1.16668 -0.33332 -1.75000 Ru
-1.16668 -0.83332 -1.75000 Ru
-1.66668 -0.83332 -1.75000 Ru
-1.83332 -0.66668 -1.25000 Ru
-1.33332 -0.16668 -1.25000 Ru
-1.83332 -0.16668 -1.25000 Ru
-0.66668 -1.33332 -1.75000 Ru
-0.33332 -1.66668 -1.25000 Ru
-0.16668 -1.33332 -1.75000 Ru
-0.16668 -1.83332 -1.75000 Ru
-0.66668 -1.83332 -1.75000 Ru
-0.83332 -1.66668 -1.25000 Ru
-0.33332 -1.16668 -1.25000 Ru
-0.83332 -1.16668 -1.25000 Ru
-1.66668 -1.33332 -1.75000 Ru
-1.33332 -1.66668 -1.25000 Ru
-1.16668 -1.33332 -1.75000 Ru
-1.16668 -1.83332 -1.75000 Ru
-1.66668 -1.83332 -1.75000 Ru
-1.83332 -1.66668 -1.25000 Ru
-1.33332 -1.16668 -1.25000 Ru
-1.83332 -1.16668 -1.25000 Ru
-0.66668 -0.33332 -0.75000 Ru
-0.33332 -0.66668 -0.25000 Ru
-0.16668 -0.33332 -0.75000 Ru
-0.16668 -0.83332 -0.75000 Ru
-0.66668 -0.83332 -0.75000 Ru
-0.83332 -0.66668 -0.25000 Ru
-0.33332 -0.16668 -0.25000 Ru
-0.83332 -0.16668 -0.25000 Ru
-1.66668 -0.33332 -0.75000 Ru
-1.33332 -0.66668 -0.25000 Ru
-1.16668 -0.33332 -0.75000 Ru
-1.16668 -0.83332 -0.75000 Ru
-1.66668 -0.83332 -0.75000 Ru
-1.83332 -0.66668 -0.25000 Ru
-1.33332 -0.16668 -0.25000 Ru
-1.83332 -0.16668 -0.25000 Ru
-0.66668 -1.33332 -0.75000 Ru
-0.33332 -1.66668 -0.25000 Ru
-0.16668 -1.33332 -0.75000 Ru
-0.16668 -1.83332 -0.75000 Ru
-0.66668 -1.83332 -0.75000 Ru
-0.83332 -1.66668 -0.25000 Ru
-0.33332 -1.16668 -0.25000 Ru
-0.83332 -1.16668 -0.25000 Ru
-1.66668 -1.33332 -0.75000 Ru
-1.33332 -1.66668 -0.25000 Ru
-1.16668 -1.33332 -0.75000 Ru
-1.16668 -1.83332 -0.75000 Ru
-1.66668 -1.83332 -0.75000 Ru
-1.83332 -1.66668 -0.25000 Ru
-1.33332 -1.16668 -0.25000 Ru
-1.83332 -1.16668 -0.25000 Ru
-0.66668 -0.33332 -2.75000 Ru
-0.33332 -0.66668 -2.25000 Ru
-0.16668 -0.33332 -2.75000 Ru
-0.16668 -0.83332 -2.75000 Ru
-0.66668 -0.83332 -2.75000 Ru
-0.83332 -0.66668 -2.25000 Ru
-0.33332 -0.16668 -2.25000 Ru
-0.83332 -0.16668 -2.25000 Ru
-1.66668 -0.33332 -2.75000 Ru
-1.33332 -0.66668 -2.25000 Ru
-1.16668 -0.33332 -2.75000 Ru
-1.16668 -0.83332 -2.75000 Ru
-1.66668 -0.83332 -2.75000 Ru
-1.83332 -0.66668 -2.25000 Ru
-1.33332 -0.16668 -2.25000 Ru
-1.83332 -0.16668 -2.25000 Ru
-0.66668 -1.33332 -2.75000 Ru
-0.33332 -1.66668 -2.25000 Ru
-0.16668 -1.33332 -2.75000 Ru
-0.16668 -1.83332 -2.75000 Ru
-0.66668 -1.83332 -2.75000 Ru
-0.83332 -1.66668 -2.25000 Ru
-0.33332 -1.16668 -2.25000 Ru
-0.83332 -1.16668 -2.25000 Ru
-1.66668 -1.33332 -2.75000 Ru
-1.33332 -1.66668 -2.25000 Ru
-1.16668 -1.33332 -2.75000 Ru
-1.16668 -1.83332 -2.75000 Ru
-1.66668 -1.83332 -2.75000 Ru
-1.83332 -1.66668 -2.25000 Ru
-1.33332 -1.16668 -2.25000 Ru
-1.83332 -1.16668 -2.25000 Ru
