5.44586 -0.00007 0.00000
-2.72299 4.71622 0.00000
0.00000 0.00000 4.29331
3.00000 -2.00000 6.00000
-3.00000 2.00000 6.00000
2.00000 -3.00000 -6.00000
-1.66735 0.66735 3.25007 Ru
-1.33268 0.33268 3.74993 Ru
-1.16729 0.66729 3.25006 Ru
-1.16717 0.16717 3.25005 Ru
1.33271 -1.83271 -2.74994 Ru
1.16735 -1.66735 -2.25007 Ru
-1.33265 0.83265 3.74993 Ru
-1.83268 0.83268 3.74993 Ru
-1.66630 0.66717 4.25054 Ru
-1.33328 0.33319 4.75041 Ru
-1.16670 0.66712 4.24945 Ru
-1.16662 0.16681 4.24959 Ru
1.33334 -1.83375 -1.74945 Ru
1.16670 -1.66665 -1.24958 Ru
-1.33344 0.83329 4.74818 Ru
-1.83342 0.83311 4.75121 Ru
-1.66690 0.66605 5.24962 Ru
-1.33303 0.33376 5.75113 Ru
-1.16720 0.66609 5.25039 Ru
-1.16658 0.16689 5.24879 Ru
1.33353 -1.83268 -0.74962 Ru
1.16651 -1.66689 -0.24879 Ru
-1.33353 0.83268 5.74962 Ru
-1.83315 0.83353 5.74879 Ru
-2.66647 1.66732 5.25038 Ru
-2.33360 1.33288 5.74887 Ru
-0.16617 -1.33272 -0.75039 Ru
-2.16690 1.16624 5.24887 Ru
0.33383 -0.83272 -0.75039 Ru
0.16690 -0.66624 -0.24887 Ru
-0.33383 -1.16728 -0.24961 Ru
-2.83301 1.83392 5.75104 Ru
1.33279 -1.33345 6.24949 Ru
1.66701 -1.66584 6.74919 Ru
1.83283 -1.33334 6.24947 Ru
1.83332 -1.83327 6.24910 Ru
1.33337 -1.83420 6.25016 Ru
1.16641 -1.66729 6.74896 Ru
1.66721 -1.16655 6.75051 Ru
1.16675 -1.16673 6.75090 Ru
0.33326 -0.33244 6.24984 Ru
0.66656 -0.66686 6.75088 Ru
2.83408 -3.33231 0.25016 Ru
0.83342 -0.83314 6.24912 Ru
0.33255 -0.83432 6.24984 Ru
0.16625 -0.66753 6.75081 Ru
2.66717 -3.16666 0.75053 Ru
0.16688 -0.16633 6.74949 Ru
1.33272 -1.33451 0.24984 Ru
1.66692 -1.66621 0.75039 Ru
-1.16582 0.66784 6.24984 Ru
1.83379 -1.83242 0.25039 Ru
1.33260 -1.83397 0.24947 Ru
1.16653 -1.66704 0.75051 Ru
-1.33272 0.83451 6.75016 Ru
1.16623 -1.16758 0.74961 Ru
1.33404 -2.33266 0.25053 Ru
1.66704 -2.66592 0.74936 Ru
1.83347 -2.33257 0.24949 Ru
1.83302 -2.83408 0.25064 Ru
-0.66683 0.16593 6.25051 Ru
-0.83364 0.33285 6.74961 Ru
1.66582 -2.16784 0.75016 Ru
1.16659 -2.16681 0.74928 Ru
0.33255 -0.33446 0.25000 Ru
0.66674 -0.66657 0.75073 Ru
-0.16595 -1.33217 0.25000 Ru
0.83325 -0.83345 0.24928 Ru
0.33255 -0.83446 0.25000 Ru
0.16662 -0.66681 0.74928 Ru
-0.33408 -1.16782 0.75000 Ru
0.16662 -0.16681 0.74928 Ru
0.33255 -1.33446 0.25000 Ru
0.66674 -1.66657 0.75073 Ru
0.83405 -1.33217 0.25000 Ru
0.83337 -1.83321 0.25073 Ru
0.33405 -1.83217 0.25000 Ru
0.16674 -1.66657 0.75073 Ru
0.66742 -1.16554 0.75000 Ru
0.16610 -1.16784 0.74994 Ru
2.33391 -2.33328 6.25007 Ru
-0.33274 -0.66552 0.75002 Ru
-0.16727 -0.33333 0.24993 Ru
-0.16726 -0.83447 0.24994 Ru
-0.66609 -0.83328 0.25007 Ru
-0.83389 -0.66784 0.74994 Ru
-0.33272 -0.16665 0.75007 Ru
2.16611 -2.16784 6.74994 Ru
1.33391 -1.33328 7.25007 Ru
1.66726 -1.66552 7.75002 Ru
1.83273 -1.33333 7.24993 Ru
1.83389 -1.83216 7.25002 Ru
1.33273 -1.83333 7.24993 Ru
1.16726 -1.66552 7.75002 Ru
1.66610 -1.16669 7.74993 Ru
1.16665 -1.16675 7.75048 Ru
0.33323 -0.33357 7.24877 Ru
0.66702 -0.66693 7.74960 Ru
2.83354 -3.33311 1.24864 Ru
0.83335 -0.83325 7.24952 Ru
0.33341 -0.83307 7.25123 Ru
0.16619 -0.66675 7.75048 Ru
2.66659 -3.16693 1.74877 Ru
0.16717 -0.16662 7.74952 Ru
1.33341 -1.33307 1.25123 Ru
1.66635 -1.66644 1.75040 Ru
-1.16691 0.66647 7.25136 Ru
1.83344 -1.83307 1.25040 Ru
1.33309 -1.83353 1.25136 Ru
1.16657 -1.66693 1.74960 Ru
-1.33309 0.83353 7.74864 Ru
1.16665 -1.16673 1.74882 Ru
1.33365 -2.33270 1.24953 Ru
1.66722 -2.66606 1.75097 Ru
1.83275 -2.33382 1.24945 Ru
1.83339 -2.83327 1.25118 Ru
-0.66702 0.16606 7.25047 Ru
-0.83357 0.33327 7.74882 Ru
1.66702 -2.16606 1.74953 Ru
1.16694 -2.16663 1.75118 Ru
0.33298 -0.33394 1.25047 Ru
0.66615 -0.66730 1.74903 Ru
-0.16612 -1.33281 1.25055 Ru
0.83296 -0.83394 1.24903 Ru
0.33388 -0.83281 1.25055 Ru
0.16694 -0.66606 1.75097 Ru
-0.33388 -1.16719 1.74945 Ru
0.16673 -0.16668 1.74970 Ru
0.33320 -1.33364 1.25051 Ru
0.66684 -1.66660 1.74971 Ru
0.83319 -1.33364 1.24947 Ru
0.83334 -1.83324 1.25032 Ru
0.33325 -1.83335 1.24815 Ru
0.16627 -1.66669 1.75030 Ru
0.66680 -1.16636 1.74949 Ru
0.16653 -1.16676 1.74968 Ru
-0.66661 -0.33328 1.25185 Ru
-0.33298 -0.66684 1.75028 Ru
-0.16663 -0.33333 1.25193 Ru
-0.16656 -0.83316 1.24972 Ru
-0.66673 -0.83330 1.24807 Ru
-0.83340 -0.66676 1.75029 Ru
-0.33319 -0.16636 1.75053 Ru
-0.83340 -0.16687 1.75008 Ru
1.33351 -1.33333 8.25066 Ru
-1.33481 0.33318 2.74984 Ru
-1.16644 0.66680 2.24981 Ru
-1.16510 0.16682 2.25006 Ru
-1.66631 0.16674 2.25018 Ru
-1.83362 0.33350 2.74992 Ru
-1.33351 0.83333 2.74934 Ru
1.16804 -1.16682 8.74994 Ru
0.33294 -0.33338 8.24982 Ru
0.66715 -0.66653 8.75001 Ru
2.83371 -3.33320 2.24995 Ru
0.83366 -0.83347 8.24999 Ru
0.33293 -0.83344 8.25005 Ru
0.16633 -0.66655 8.75016 Ru
2.66644 -3.16680 2.75019 Ru
0.16506 -0.16690 8.74995 Ru
1.33438 -1.33304 2.24995 Ru
1.66678 -1.66647 2.75005 Ru
-1.16771 0.66653 8.25005 Ru
1.83383 -1.83230 2.25026 Ru
1.33226 -1.83358 2.25010 Ru
1.16682 -1.66647 2.75005 Ru
-1.33438 0.83304 8.75005 Ru
1.16619 -1.16770 2.74974 Ru
1.33438 -2.33305 2.24990 Ru
1.66614 -2.66772 2.74982 Ru
1.83434 -2.33315 2.24989 Ru
1.83383 -2.83228 2.25018 Ru
-0.66771 0.16652 8.25011 Ru
-0.83342 0.33310 8.74995 Ru
1.66771 -2.16653 2.74995 Ru
1.16596 -2.16812 2.74963 Ru
0.33366 -0.33324 2.24990 Ru
0.66739 -0.66522 2.75024 Ru
-0.16702 -1.33338 2.25011 Ru
0.83280 -0.83435 2.24972 Ru
0.33296 -0.83342 2.24995 Ru
0.16739 -0.66524 2.75037 Ru
-0.33366 -1.16676 2.75010 Ru
0.16723 -0.16565 2.75028 Ru
0.33367 -1.33322 2.25005 Ru
0.66722 -1.66563 2.75016 Ru
0.83365 -1.33328 2.25005 Ru
0.83279 -1.83437 2.24984 Ru
0.33299 -1.83335 2.24995 Ru
0.16595 -1.66815 2.74976 Ru
0.66702 -1.16662 2.74989 Ru
0.16669 -1.16666 2.74967 Ru
1.33339 -2.33314 -3.75127 Ru
1.66710 -2.66684 -3.25029 Ru
-1.16653 -0.33317 2.25142 Ru
1.83330 -2.83334 -3.74967 Ru
-0.66676 0.16651 2.25127 Ru
-0.83380 0.33334 2.74967 Ru
-1.33324 -0.16651 2.74873 Ru
1.16717 -2.16671 -3.24967 Ru
-0.66676 -0.33349 2.25127 Ru
-0.33374 -0.66653 2.75029 Ru
-0.16683 -0.33347 2.24858 Ru
-0.16661 -0.83316 2.25029 Ru
-0.66683 -0.83347 2.24858 Ru
-0.83339 -0.66684 2.74971 Ru
-0.33317 -0.16653 2.75142 Ru
-0.83307 -0.16619 2.75049 Ru
0.33445 -0.33254 9.25000 Ru
0.66648 -0.66709 9.74942 Ru
2.83225 -3.33424 3.25000 Ru
0.83307 -0.83381 9.24951 Ru
3.33218 -2.83410 3.25000 Ru
3.16693 -2.66619 3.75049 Ru
2.66782 -3.16590 3.75000 Ru
0.16643 -0.16718 9.74951 Ru
1.33218 -1.33410 3.25000 Ru
1.66689 -1.66628 3.75058 Ru
1.83439 -1.33240 3.25000 Ru
1.83352 -1.83291 3.25058 Ru
1.33439 -1.83240 3.25000 Ru
1.16648 -1.66709 3.74942 Ru
1.66561 -1.16760 3.75000 Ru
1.16669 -1.16667 3.74926 Ru
1.33276 -2.33448 3.25000 Ru
1.66670 -2.66664 3.74927 Ru
1.83279 -2.33448 3.25000 Ru
1.83332 -2.83330 3.24926 Ru
2.33276 -1.83448 3.25000 Ru
2.16669 -1.66667 3.74926 Ru
1.66613 -2.16784 3.75000 Ru
1.16669 -2.16667 3.74926 Ru
0.33276 -0.33448 3.25000 Ru
0.66670 -0.66664 3.74927 Ru
2.83279 -3.33448 -2.75000 Ru
0.83334 -0.83328 3.24927 Ru
0.33279 -0.83448 3.25000 Ru
0.16670 -0.66664 3.74927 Ru
2.66616 -3.16784 -2.25000 Ru
0.16665 -0.16674 3.75000 Ru
0.33335 -1.33332 3.24853 Ru
0.66671 -1.66663 3.75000 Ru
0.83329 -1.33332 3.25147 Ru
0.83329 -1.83337 3.25000 Ru
3.33335 -3.83332 -2.75147 Ru
3.16665 -3.66674 -2.25000 Ru
0.66671 -1.16668 3.74853 Ru
0.16665 -1.16674 3.75000 Ru
1.33335 -2.33332 -2.75147 Ru
1.66671 -2.66663 -2.25000 Ru
1.83329 -2.33332 -2.74853 Ru
1.83335 -2.83326 -2.75000 Ru
-0.66671 0.16668 3.25147 Ru
-0.83329 0.33337 3.75000 Ru
1.66665 -2.16668 -2.24853 Ru
1.16701 -2.16603 -2.25000 Ru
-0.66701 -0.33332 3.25121 Ru
-0.33301 -0.66603 3.74997 Ru
-0.16700 -0.33330 3.25121 Ru
-0.16637 -0.83266 3.25000 Ru
2.33299 -2.83332 -2.74879 Ru
2.16699 -2.66603 -2.25000 Ru
-0.33365 -0.16668 3.75121 Ru
-0.83301 -0.16603 3.75000 Ru
0.33299 -0.33332 10.25121 Ru
-2.33301 1.33397 4.74997 Ru
2.83300 -3.33330 4.25121 Ru
-2.16637 1.16734 4.24997 Ru
3.33300 -2.83330 4.25121 Ru
3.16699 -2.66603 4.74997 Ru
2.66636 -3.16667 4.75121 Ru
0.16714 -0.16573 10.75007 Ru
