5.44586 -0.00007 0.00000
-2.72299 4.71622 0.00000
0.00000 0.00000 4.29331
3.00000 -2.00000 6.00000
-3.00000 2.00000 6.00000
2.00000 -3.00000 -6.00000
-1.66668 0.66668 3.25000 Ru
-1.33332 0.33332 3.75000 Ru
-1.16668 0.66668 3.25000 Ru
-1.16668 0.16668 3.25000 Ru
1.33332 -1.83332 -2.75000 Ru
1.16668 -1.66668 -2.25000 Ru
-1.33332 0.83332 3.75000 Ru
-1.83332 0.83332 3.75000 Ru
-1.66668 0.66668 4.25000 Ru
-1.33332 0.33332 4.75000 Ru
-1.16668 0.66668 4.25000 Ru
-1.16668 0.16668 4.25000 Ru
1.33332 -1.83332 -1.75000 Ru
1.16668 -1.66668 -1.25000 Ru
-1.33332 0.83332 4.75000 Ru
-1.83332 0.83332 4.75000 Ru
-1.66668 0.66668 5.25000 Ru
-1.33332 0.33332 5.75000 Ru
-1.16668 0.66668 5.25000 Ru
-1.16668 0.16668 5.25000 Ru
1.33332 -1.83332 -0.75000 Ru
1.16668 -1.66668 -0.25000 Ru
-1.33332 0.83332 5.75000 Ru
-1.83332 0.83332 5.75000 Ru
-2.66668 1.66668 5.25000 Ru
-2.33332 1.33332 5.75000 Ru
-0.16668 -1.33332 -0.75000 Ru
-2.16668 1.16668 5.25000 Ru
0.33332 -0.83332 -0.75000 Ru
0.16668 -0.66668 -0.25000 Ru
-0.33332 -1.16668 -0.25000 Ru
-2.83332 1.83332 5.75000 Ru
1.33332 -1.33332 6.25000 Ru
1.66668 -1.66668 6.75000 Ru
1.83332 -1.33332 6.25000 Ru
1.83332 -1.83332 6.25000 Ru
1.33332 -1.83332 6.25000 Ru
1.16668 -1.66668 6.75000 Ru
1.66668 -1.16668 6.75000 Ru
1.16668 -1.16668 6.75000 Ru
0.33332 -0.33332 6.25000 Ru
0.66668 -0.66668 6.75000 Ru
2.83332 -3.33332 0.25000 Ru
0.83332 -0.83332 6.25000 Ru
0.33332 -0.83332 6.25000 Ru
0.16668 -0.66668 6.75000 Ru
2.66668 -3.16668 0.75000 Ru
0.16668 -0.16668 6.75000 Ru
1.33332 -1.33332 0.25000 Ru
1.66668 -1.66668 0.75000 Ru
-1.16668 0.66668 6.25000 Ru
1.83332 -1.83332 0.25000 Ru
1.33332 -1.83332 0.25000 Ru
1.16668 -1.66668 0.75000 Ru
-1.33332 0.83332 6.75000 Ru
1.16668 -1.16668 0.75000 Ru
1.33332 -2.33332 0.25000 Ru
1.66668 -2.66668 0.75000 Ru
1.83332 -2.33332 0.25000 Ru
1.83332 -2.83332 0.25000 Ru
-0.66668 0.16668 6.25000 Ru
-0.83332 0.33332 6.75000 Ru
1.66668 -2.16668 0.75000 Ru
1.16668 -2.16668 0.75000 Ru
0.33332 -0.33332 0.25000 Ru
0.66668 -0.66668 0.75000 Ru
-0.16668 -1.33332 0.25000 Ru
0.83332 -0.83332 0.25000 Ru
0.33332 -0.83332 0.25000 Ru
0.16668 -0.66668 0.75000 Ru
-0.33332 -1.16668 0.75000 Ru
0.16668 -0.16668 0.75000 Ru
0.33332 -1.33332 0.25000 Ru
0.66668 -1.66668 0.75000 Ru
0.83332 -1.33332 0.25000 Ru
0.83332 -1.83332 0.25000 Ru
0.33332 -1.83332 0.25000 Ru
0.16668 -1.66668 0.75000 Ru
0.66668 -1.16668 0.75000 Ru
0.16668 -1.16668 0.75000 Ru
2.33332 -2.33332 6.25000 Ru
-0.33332 -0.66668 0.75000 Ru
-0.16668 -0.33332 0.25000 Ru
-0.16668 -0.83332 0.25000 Ru
-0.66668 -0.83332 0.25000 Ru
-0.83332 -0.66668 0.75000 Ru
-0.33332 -0.16668 0.75000 Ru
2.16668 -2.16668 6.75000 Ru
1.33332 -1.33332 7.25000 Ru
1.66668 -1.66668 7.75000 Ru
1.83332 -1.33332 7.25000 Ru
1.83332 -1.83332 7.25000 Ru
1.33332 -1.83332 7.25000 Ru
1.16668 -1.66668 7.75000 Ru
1.66668 -1.16668 7.75000 Ru
1.16668 -1.16668 7.75000 Ru
0.33332 -0.33332 7.25000 Ru
0.66668 -0.66668 7.75000 Ru
2.83332 -3.33332 1.25000 Ru
0.83332 -0.83332 7.25000 Ru
0.33332 -0.83332 7.25000 Ru
0.16668 -0.66668 7.75000 Ru
2.66668 -3.16668 1.75000 Ru
0.16668 -0.16668 7.75000 Ru
1.33332 -1.33332 1.25000 Ru
1.66668 -1.66668 1.75000 Ru
-1.16668 0.66668 7.25000 Ru
1.83332 -1.83332 1.25000 Ru
1.33332 -1.83332 1.25000 Ru
1.16668 -1.66668 1.75000 Ru
-1.33332 0.83332 7.75000 Ru
1.16668 -1.16668 1.75000 Ru
1.33332 -2.33332 1.25000 Ru
1.66668 -2.66668 1.75000 Ru
1.83332 -2.33332 1.25000 Ru
1.83332 -2.83332 1.25000 Ru
-0.66668 0.16668 7.25000 Ru
-0.83332 0.33332 7.75000 Ru
1.66668 -2.16668 1.75000 Ru
1.16668 -2.16668 1.75000 Ru
0.33332 -0.33332 1.25000 Ru
0.66668 -0.66668 1.75000 Ru
-0.16668 -1.33332 1.25000 Ru
0.83332 -0.83332 1.25000 Ru
0.33332 -0.83332 1.25000 Ru
0.16668 -0.66668 1.75000 Ru
-0.33332 -1.16668 1.75000 Ru
0.16668 -0.16668 1.75000 Ru
0.33332 -1.33332 1.25000 Ru
0.66668 -1.66668 1.75000 Ru
0.83332 -1.33332 1.25000 Ru
0.83332 -1.83332 1.25000 Ru
0.33332 -1.83332 1.25000 Ru
0.16668 -1.66668 1.75000 Ru
0.66668 -1.16668 1.75000 Ru
0.16668 -1.16668 1.75000 Ru
-0.66668 -0.33332 1.25000 Ru
-0.33332 -0.66668 1.75000 Ru
-0.16668 -0.33332 1.25000 Ru
-0.16668 -0.83332 1.25000 Ru
-0.66668 -0.83332 1.25000 Ru
-0.83332 -0.66668 1.75000 Ru
-0.33332 -0.16668 1.75000 Ru
-0.83332 -0.16668 1.75000 Ru
1.33332 -1.33332 8.25000 Ru
-1.33332 0.33332 2.75000 Ru
-1.16668 0.66668 2.25000 Ru
-1.16668 0.16668 2.25000 Ru
-1.66668 0.16668 2.25000 Ru
-1.83332 0.33332 2.75000 Ru
-1.33332 0.83332 2.75000 Ru
1.16668 -1.16668 8.75000 Ru
0.33332 -0.33332 8.25000 Ru
0.66668 -0.66668 8.75000 Ru
2.83332 -3.33332 2.25000 Ru
0.83332 -0.83332 8.25000 Ru
0.33332 -0.83332 8.25000 Ru
0.16668 -0.66668 8.75000 Ru
2.66668 -3.16668 2.75000 Ru
0.16668 -0.16668 8.75000 Ru
1.33332 -1.33332 2.25000 Ru
1.66668 -1.66668 2.75000 Ru
-1.16668 0.66668 8.25000 Ru
1.83332 -1.83332 2.25000 Ru
1.33332 -1.83332 2.25000 Ru
1.16668 -1.66668 2.75000 Ru
-1.33332 0.83332 8.75000 Ru
1.16668 -1.16668 2.75000 Ru
1.33332 -2.33332 2.25000 Ru
1.66668 -2.66668 2.75000 Ru
1.83332 -2.33332 2.25000 Ru
1.83332 -2.83332 2.25000 Ru
-0.66668 0.16668 8.25000 Ru
-0.83332 0.33332 8.75000 Ru
1.66668 -2.16668 2.75000 Ru
1.16668 -2.16668 2.75000 Ru
0.33332 -0.33332 2.25000 Ru
0.66668 -0.66668 2.75000 Ru
-0.16668 -1.33332 2.25000 Ru
