p+0.04_10.9548_0 dE= 0.01202
actual force   predicted force   difference
-0.00000 0.00000 -0.00000
-0.60063 -0.60092 0.00028
0.00000 0.00000 0.00000
-0.00000 0.00000 -0.00000
0.06225 0.05646 0.00579
-0.06768 -0.06150 -0.00618
-0.00190 0.00000 -0.00190
-0.00708 -0.00736 0.00028
0.00190 0.00000 0.00190
0.06768 0.06150 0.00618
0.06225 0.05646 0.00579
0.00000 0.00000 0.00000
-0.00000 0.00000 -0.00000
0.01037 0.01008 0.00028
-0.01105 -0.01105 0.00000
0.00102 0.00120 -0.00019
0.00407 0.00353 0.00054
-0.00455 -0.00441 -0.00013
0.00461 0.00441 0.00019
0.00754 0.00706 0.00048
-0.00461 -0.00441 -0.00019
-0.00000 0.00000 -0.00000
0.00093 0.00064 0.00028
0.00000 0.00000 0.00000
0.00455 0.00441 0.00013
0.00407 0.00353 0.00054
-0.00102 -0.00120 0.00019
0.01105 0.01105 0.00000
0.01037 0.01008 0.00028
0.00000 0.00000 0.00000
-0.00000 0.00000 -0.00000
0.05123 0.05646 -0.00522
-0.05532 -0.06150 0.00618
-0.00424 -0.00441 0.00017
0.00714 0.00706 0.00008
-0.00424 -0.00441 0.00017
-0.00139 -0.00120 -0.00019
0.00356 0.00353 0.00003
-0.00426 -0.00441 0.00016
-0.00455 -0.00441 -0.00013
0.00407 0.00353 0.00054
0.00102 0.00120 -0.00019
-0.00000 0.00000 -0.00000
0.00315 0.00000 0.00315
-0.00000 0.00000 -0.00000
0.00426 0.00441 -0.00016
0.00356 0.00353 0.00003
0.00139 0.00120 0.00019
0.00190 0.00000 0.00190
-0.00708 -0.00736 0.00028
-0.00190 0.00000 -0.00190
-0.00102 -0.00120 0.00019
0.00407 0.00353 0.00054
0.00455 0.00441 0.00013
0.00424 0.00441 -0.00017
0.00714 0.00706 0.00008
0.00424 0.00441 -0.00017
0.05532 0.06150 -0.00618
0.05123 0.05646 -0.00522
0.00000 0.00000 0.00000
-0.05532 -0.06150 0.00618
0.05123 0.05646 -0.00522
0.00000 0.00000 0.00000
-0.00190 0.00000 -0.00190
-0.00708 -0.00736 0.00028
-0.00190 0.00000 -0.00190
-0.01105 -0.01105 0.00000
0.01037 0.01008 0.00028
0.00000 0.00000 0.00000
-0.00426 -0.00441 0.00016
