0.00000 1.93656 1.93656
1.93656 0.00000 1.93656
1.93656 1.93656 0.00000
-4.00000 0.00000 4.00000
0.00000 -4.00000 4.00000
0.00000 0.00000 4.00000
-3.00000 -3.00000 9.00000 Ir
-3.00000 -4.00000 10.00000 Ir
-4.00000 -3.00000 10.00000 Ir
-3.00000 -3.00000 10.00000 Ir
-3.00000 -1.00000 7.00000 Ir
-4.00000 -4.00000 11.00000 Ir
-3.00000 -4.00000 11.00000 Ir
-1.00000 -3.00000 7.00000 Ir
-4.00000 -3.00000 11.00000 Ir
-3.00000 -3.00000 7.00000 Ir
-3.00000 -2.00000 8.00000 Ir
-4.00000 -1.00000 8.00000 Ir
-3.00000 -1.00000 8.00000 Ir
-1.00000 -4.00000 8.00000 Ir
-4.00000 -4.00000 12.00000 Ir
-3.00000 -4.00000 8.00000 Ir
-2.00000 -3.00000 8.00000 Ir
-1.00000 -3.00000 8.00000 Ir
-4.00000 -3.00000 8.00000 Ir
-3.00000 -3.00000 8.00000 Ir
-4.00000 -2.00000 9.00000 Ir
-3.00000 -2.00000 9.00000 Ir
-1.00000 -1.00000 5.00000 Ir
-4.00000 -1.00000 9.00000 Ir
-3.00000 -1.00000 5.00000 Ir
-2.00000 -4.00000 9.00000 Ir
-1.00000 -4.00000 9.00000 Ir
-4.00000 -4.00000 9.00000 Ir
-3.00000 -4.00000 9.00000 Ir
-2.00000 -3.00000 9.00000 Ir
-1.00000 -3.00000 5.00000 Ir
-4.00000 -3.00000 9.00000 Ir
-1.00000 -2.00000 6.00000 Ir
-4.00000 -2.00000 10.00000 Ir
-3.00000 -2.00000 6.00000 Ir
-2.00000 -1.00000 6.00000 Ir
-1.00000 -1.00000 6.00000 Ir
-4.00000 -1.00000 6.00000 Ir
-3.00000 -1.00000 6.00000 Ir
-2.00000 -4.00000 10.00000 Ir
-1.00000 -4.00000 6.00000 Ir
-4.00000 -4.00000 10.00000 Ir
-2.00000 -3.00000 6.00000 Ir
-1.00000 -3.00000 6.00000 Ir
-2.00000 -2.00000 7.00000 Ir
-1.00000 -2.00000 7.00000 Ir
-4.00000 -2.00000 7.00000 Ir
-3.00000 -2.00000 7.00000 Ir
-2.00000 -1.00000 7.00000 Ir
-1.00000 -1.00000 3.00000 Ir
-4.00000 -1.00000 7.00000 Ir
-2.00000 -4.00000 7.00000 Ir
-1.00000 -4.00000 7.00000 Ir
-2.00000 -3.00000 7.00000 Ir
-2.00000 -2.00000 8.00000 Ir
-1.00000 -2.00000 4.00000 Ir
-4.00000 -2.00000 8.00000 Ir
-2.00000 -1.00000 4.00000 Ir
-1.00000 -1.00000 4.00000 Ir
-2.00000 -4.00000 8.00000 Ir
-2.00000 -2.00000 5.00000 Ir
-1.00000 -2.00000 5.00000 Ir
-2.00000 -1.00000 5.00000 Ir
-2.00000 -2.00000 6.00000 Ir
