p+0.04_10.7791_0 dE= 0.00814
p_uns_0.2_1000_136 dE= 0.67376
p_uns_0.2_1000_1378 dE= 0.62664
p_uns_0.2_1000_988 dE= 0.69683
p_uns_0.2_1000_997 dE= 1.10872
actual force   predicted force   difference
-0.00960 -0.01481 0.00521
0.00004 -0.00536 0.00540
0.00813 0.01724 -0.00911
-0.00268 0.02110 -0.02379
-0.00115 -0.00728 0.00613
0.00184 -0.00812 0.00996
-0.00597 -0.01481 0.00885
-0.00007 -0.00536 0.00529
0.01185 0.01724 -0.00540
-0.28934 -0.30073 0.01139
0.00364 0.03196 -0.02832
0.28612 0.31284 -0.02672
0.01324 0.03635 -0.02311
0.01949 0.02038 -0.00089
-0.00052 -0.01116 0.01064
0.00293 0.00102 0.00191
-0.00121 0.00197 -0.00319
-0.00187 0.00868 -0.01055
0.00156 0.00741 -0.00585
-0.00691 -0.00973 0.00283
0.00003 0.00271 -0.00268
0.01281 0.03648 -0.02368
-0.02020 -0.02043 0.00023
0.00083 -0.01108 0.01191
0.02205 0.01159 0.01047
-0.00005 -0.02080 0.02075
-0.00339 -0.01939 0.01600
0.00152 0.01863 -0.01711
0.00512 0.00484 0.00028
0.00231 -0.01224 0.01455
0.00060 0.00000 0.00060
-0.00156 0.00000 -0.00156
-0.00107 0.00000 -0.00107
0.01154 -0.00303 0.01458
-0.01531 -0.00794 -0.00737
0.00081 -0.00327 0.00408
0.00302 -0.00089 0.00391
-0.00482 -0.00242 -0.00240
0.00178 0.00622 -0.00444
0.00147 0.00000 0.00147
0.00045 0.00000 0.00045
0.00117 0.00000 0.00117
-0.00174 -0.00606 0.00432
0.00521 -0.00148 0.00669
-0.00519 -0.00074 -0.00445
0.00146 0.01424 -0.01278
0.00308 0.00674 -0.00366
-0.00323 -0.01383 0.01060
0.00068 0.00000 0.00068
0.00245 0.00000 0.00245
0.00161 0.00000 0.00161
-0.00128 -0.00471 0.00342
-0.00477 -0.01255 0.00778
-0.00455 -0.01049 0.00594
0.00180 0.01503 -0.01323
-0.00178 0.01593 -0.01772
-0.02457 -0.00228 -0.02228
