-0.00734 1.90775 1.90146
1.90099 0.00561 1.90998
1.90355 1.90669 0.00151
-4.00000 0.00000 4.00000
0.00000 -4.00000 0.00000
4.00000 -1.00000 1.00000
0.99885 -2.00226 0.99989 Ru
0.99885 -1.00226 0.99989 Ru
0.99885 -4.00226 0.99989 Ru
0.99885 -3.00226 0.99989 Ru
0.99885 -3.00226 1.99989 Ru
1.99885 -3.00226 1.99989 Ru
2.99885 -3.00226 1.99989 Ru
-0.00115 -2.00226 0.99989 Ru
-0.00115 -2.00226 1.99989 Ru
0.99885 -2.00226 1.99989 Ru
1.99885 -2.00226 1.99989 Ru
2.99885 -2.00226 1.99989 Ru
-0.00115 -1.00226 0.99989 Ru
-0.00115 -1.00226 1.99989 Ru
0.99885 -1.00226 1.99989 Ru
1.99885 -1.00226 1.99989 Ru
2.99885 -1.00226 1.99989 Ru
-0.00115 -4.00226 0.99989 Ru
-0.00115 -4.00226 1.99989 Ru
0.99885 -4.00226 1.99989 Ru
1.99885 -4.00226 1.99989 Ru
2.99885 -4.00226 1.99989 Ru
-0.00115 -3.00226 0.99989 Ru
-0.00115 -3.00226 1.99989 Ru
-0.00115 -3.00226 2.99989 Ru
0.99885 -3.00226 2.99989 Ru
1.99885 -3.00226 2.99989 Ru
-1.00115 -2.00226 1.99989 Ru
-1.00115 -2.00226 2.99989 Ru
-0.00115 -2.00226 2.99989 Ru
0.99885 -2.00226 2.99989 Ru
1.99885 -2.00226 2.99989 Ru
-1.00115 -1.00226 1.99989 Ru
-1.00115 -1.00226 2.99989 Ru
-0.00115 -1.00226 2.99989 Ru
0.99885 -1.00226 2.99989 Ru
1.99885 -1.00226 2.99989 Ru
-1.00115 -4.00226 1.99989 Ru
-1.00115 -4.00226 2.99989 Ru
-0.00115 -4.00226 2.99989 Ru
0.99885 -4.00226 2.99989 Ru
1.99885 -4.00226 2.99989 Ru
-1.00115 -3.00226 1.99989 Ru
-1.00115 -3.00226 2.99989 Ru
-1.00115 -3.00226 3.99989 Ru
-0.00115 -3.00226 3.99989 Ru
0.99885 -3.00226 3.99989 Ru
-2.00115 -2.00226 2.99989 Ru
-2.00115 -2.00226 3.99989 Ru
-1.00115 -2.00226 3.99989 Ru
-0.00115 -2.00226 3.99989 Ru
0.99885 -2.00226 3.99989 Ru
-2.00115 -1.00226 2.99989 Ru
-2.00115 -1.00226 3.99989 Ru
-1.00115 -1.00226 3.99989 Ru
-0.00115 -1.00226 3.99989 Ru
0.99885 -1.00226 3.99989 Ru
-2.00115 -4.00226 2.99989 Ru
-2.00115 -4.00226 3.99989 Ru
-1.00115 -4.00226 3.99989 Ru
-0.00115 -4.00226 3.99989 Ru
0.99885 -4.00226 3.99989 Ru
-2.00115 -3.00226 2.99989 Ru
-2.00115 -3.00226 3.99989 Ru
1.99885 -3.00226 0.99989 Ru
2.99885 -3.00226 0.99989 Ru
-0.00115 -3.00226 4.99989 Ru
-3.00115 -2.00226 3.99989 Ru
1.99885 -2.00226 0.99989 Ru
2.99885 -2.00226 0.99989 Ru
-0.00115 -2.00226 4.99989 Ru
-3.00115 -1.00226 3.99989 Ru
1.99885 -1.00226 0.99989 Ru
2.99885 -1.00226 0.99989 Ru
-0.00115 -1.00226 4.99989 Ru
-3.00115 -4.00226 3.99989 Ru
1.99885 -4.00226 0.99989 Ru
2.99885 -4.00226 0.99989 Ru
-0.00115 -4.00226 4.99989 Ru
-3.00115 -3.00226 3.99989 Ru
