-0.00734 1.90775 1.90146
1.90099 0.00561 1.90998
1.90355 1.90669 0.00151
-1.00000 -1.00000 0.00000
-2.00000 0.00000 2.00000
-3.00000 4.00000 -3.00000
-3.05544 2.04908 -0.98115 Ru
-3.99276 2.96317 -0.98489 Ru
-4.02874 2.02516 -0.94906 Ru
-1.99428 0.98570 0.02042 Ru
-3.99680 2.00232 -0.00467 Ru
-3.00066 1.99736 -0.00078 Ru
-3.00366 1.00026 0.00167 Ru
-3.00138 2.99760 -1.99991 Ru
-3.00425 2.00005 -1.99758 Ru
-2.00267 -0.00095 1.00127 Ru
-4.00265 3.99929 -1.99848 Ru
-4.00135 2.99841 -2.00085 Ru
-2.99966 0.99519 0.99858 Ru
-3.00306 0.00306 1.00193 Ru
-2.03806 2.00637 -0.96440 Ru
-1.98800 0.99055 -1.01372 Ru
-0.96982 0.07128 -0.02231 Ru
-5.00376 4.01098 -1.00703 Ru
-4.99044 2.99693 -1.00862 Ru
-2.03048 0.02651 0.02710 Ru
