-0.00734 1.90775 1.90146
1.90099 0.00561 1.90998
1.90355 1.90669 0.00151
0.00000 1.00000 1.00000
2.00000 0.00000 -2.00000
-3.00000 4.00000 -3.00000
-1.93839 3.95620 -1.95789 Ru
-1.00263 1.99741 -0.99979 Ru
-0.01239 3.00723 -3.00260 Ru
-1.00220 2.99812 -0.99958 Ru
-1.02612 4.01791 -2.96775 Ru
-2.00035 2.99622 -1.99902 Ru
-0.01378 1.00038 -0.00859 Ru
-0.00548 1.98953 -1.99898 Ru
0.98904 2.03241 -1.98213 Ru
-0.00169 0.99673 -0.99880 Ru
-1.01420 3.00175 -2.00388 Ru
-0.00160 2.99632 -1.99909 Ru
-0.99393 3.00626 -2.99338 Ru
-0.94618 3.99146 -3.99299 Ru
0.99684 1.04653 -0.99924 Ru
-1.03227 5.02817 -3.97301 Ru
-0.00595 1.99452 -0.99647 Ru
1.01466 1.00478 -2.01690 Ru
-2.02126 4.01697 -3.03615 Ru
-1.98277 4.98417 -3.00342 Ru
