-0.00734 1.90775 1.90146
1.90099 0.00561 1.90998
1.90355 1.90669 0.00151
-2.00000 1.00000 -1.00000
1.00000 -1.00000 -2.00000
-1.00000 -3.00000 2.00000
-0.98941 -2.97927 1.01380 Ru
-2.00818 -2.00674 0.00434 Ru
-0.94695 -1.97288 0.97123 Ru
0.00934 -0.99745 -0.00745 Ru
-0.94741 -0.05333 -0.94884 Ru
0.00796 0.00520 -0.00756 Ru
-1.98459 -2.04710 1.04319 Ru
-0.00652 -2.98983 -0.01023 Ru
-1.96824 -1.03441 0.01735 Ru
-1.00565 -0.99418 0.00094 Ru
-0.00150 -2.00269 -0.99959 Ru
-0.99874 -0.99570 -2.00659 Ru
0.00675 -0.99368 -2.00801 Ru
-0.00543 -0.99654 -1.00288 Ru
-1.00563 0.00581 -1.93687 Ru
-0.98505 -2.99818 -0.00909 Ru
-1.00093 -2.00157 -0.00032 Ru
-0.99997 -2.00302 -0.99641 Ru
-0.00179 -1.97116 0.00886 Ru
-1.00871 -0.99631 -0.99096 Ru
