-0.00734 1.90775 1.90146
1.90099 0.00561 1.90998
1.90355 1.90669 0.00151
-2.00000 1.00000 -1.00000
1.00000 -1.00000 -2.00000
-1.00000 -3.00000 2.00000
-1.00115 -3.00226 0.99990 Ru
-2.00115 -2.00226 -0.00010 Ru
-1.00115 -2.00226 0.99990 Ru
-0.00115 -1.00226 -0.00010 Ru
-1.00115 -0.00226 -1.00010 Ru
-0.00115 -0.00226 -0.00010 Ru
-2.00115 -2.00226 0.99990 Ru
-0.00115 -3.00226 -0.00010 Ru
-2.00115 -1.00226 -0.00010 Ru
-1.00115 -1.00226 -0.00010 Ru
-0.00115 -2.00226 -1.00010 Ru
-1.00115 -1.00226 -2.00010 Ru
-0.00115 -1.00226 -2.00010 Ru
-0.00115 -1.00226 -1.00010 Ru
-1.00115 -0.00226 -2.00010 Ru
-1.00115 -3.00226 -0.00010 Ru
-1.00115 -2.00226 -0.00010 Ru
-1.00115 -2.00226 -1.00010 Ru
-0.00115 -2.00226 -0.00010 Ru
-1.00115 -1.00226 -1.00010 Ru
