-0.00734 1.90775 1.90146
1.90099 0.00561 1.90998
1.90355 1.90669 0.00151
0.00000 -1.00000 1.00000
-3.00000 2.00000 3.00000
-4.00000 0.00000 0.00000
-2.00246 -0.07379 2.00173 Ru
-5.00115 -0.00226 1.99989 Ru
-4.00115 -0.00226 1.99989 Ru
-3.00115 -0.00226 1.99989 Ru
-3.00115 0.99774 1.99989 Ru
-2.00095 0.99754 2.00009 Ru
-5.00114 0.99772 1.99988 Ru
-4.05327 1.04979 1.94700 Ru
-4.08263 1.07884 3.00934 Ru
-2.94339 0.94036 2.95235 Ru
-6.00621 1.00277 3.00494 Ru
-4.98624 0.98297 3.01472 Ru
-4.01626 2.01277 3.01458 Ru
-2.99612 1.99272 3.00495 Ru
-6.00621 2.00277 3.00494 Ru
-4.98624 1.98297 3.01472 Ru
-2.01602 0.01253 1.01483 Ru
-0.99124 -0.01214 1.00983 Ru
-3.99158 0.00799 1.00930 Ru
-2.99138 -0.01200 1.00971 Ru
