-7.68903 -3.84329 3.84345
-7.68733 3.84141 -3.84194
7.68809 -3.84211 -3.84415
-2.00000 0.00000 -2.00000
-0.00000 2.00000 2.00000
1.00000 1.00000 0.00000
-0.24951 0.25129 -0.00097 Ir
-0.12571 2.12327 1.24804 Ir
-0.37716 0.87290 -0.75375 Ir
-0.25090 0.75032 -0.50091 Ir
-0.12488 0.62603 -0.24804 Ir
-0.37735 2.37481 1.24814 Ir
-0.25224 0.25030 -0.49902 Ir
-0.37764 0.87281 -0.25094 Ir
-0.74955 0.25138 -0.99787 Ir
0.49958 3.00057 1.49990 Ir
-0.87470 0.87288 -0.75109 Ir
-0.74730 0.25159 -0.49895 Ir
-0.87323 0.87491 -0.24815 Ir
-0.99793 0.50114 -0.49954 Ir
0.12803 1.37769 -0.24626 Ir
-0.99937 0.99819 -0.50073 Ir
-0.25166 0.74756 -0.00183 Ru
-0.12499 2.62384 1.24723 Ru
0.49938 1.49967 -0.00076 Ru
-0.50061 0.99880 -0.00205 Ru
-0.12435 0.12675 -0.24700 Ru
-0.74919 0.74996 -0.99888 Ru
-0.62564 0.62498 -0.74999 Ru
-0.50249 0.49982 -0.49990 Ru
-0.37399 0.37773 -0.24813 Ru
-0.62631 0.12525 -0.75026 Ru
-0.74945 0.74815 -0.50123 Ru
-0.00037 2.49997 1.00187 Ru
-0.62327 0.62538 -0.24989 Ru
-0.87407 0.37626 -0.74973 Ru
-0.99814 2.00157 1.00084 Ru
0.37499 1.12425 -0.25017 Ru
-0.24951 1.25129 -0.00097 Ir
-0.12571 1.12327 -0.75196 Ir
-1.37716 0.87290 -0.75375 Ir
-0.25090 1.75032 -0.50091 Ir
-0.12488 1.62603 -0.24804 Ir
-0.37735 1.37481 -0.75186 Ir
-0.25224 1.25030 -0.49902 Ir
-0.37764 1.87281 -0.25094 Ir
-0.74955 1.25138 -0.99787 Ir
-0.50042 1.00057 -0.50010 Ir
-0.87470 1.87288 -0.75109 Ir
-0.74730 1.25159 -0.49895 Ir
-0.87323 1.87491 -0.24815 Ir
-0.99793 1.50114 -0.49954 Ir
