-7.68903 -3.84329 3.84345
-7.68733 3.84141 -3.84194
7.68809 -3.84211 -3.84415
1 0 0
-1.75065e-17 1 5.55112e-17
8.43645e-18 -1.11022e-16 1
0.750491 0.25129 0.999031 Ir
0.874291 0.123272 0.248041 Ir
0.622838 0.872895 0.246252 Ir
0.749102 0.75032 0.499094 Ir
0.87512 0.626027 0.751964 Ir
0.622647 0.374805 0.248143 Ir
0.747757 0.250296 0.500982 Ir
0.622356 0.872813 0.749056 Ir
0.25045 0.251381 0.00212856 Ir
0.499584 0.000568373 0.499896 Ir
0.125301 0.872878 0.248914 Ir
0.252703 0.251588 0.501055 Ir
0.126774 0.874909 0.751849 Ir
0.00207044 0.501137 0.500463 Ir
0.128028 0.377685 0.753739 Ir
0.000625605 0.998188 0.499269 Ir
0.748341 0.74756 0.998174 Ru
0.875012 0.623842 0.24723 Ru
0.499385 0.499672 0.999238 Ru
0.499392 0.998801 0.997948 Ru
0.875649 0.126753 0.752999 Ru
0.250806 0.749957 0.00111679 Ru
0.374364 0.624977 0.250008 Ru
0.49751 0.499823 0.500103 Ru
0.626011 0.377728 0.751872 Ru
0.373693 0.125248 0.249742 Ru
0.250553 0.74815 0.498768 Ru
0.999629 0.499971 0.00186806 Ru
0.376726 0.625383 0.750115 Ru
0.125935 0.376263 0.250273 Ru
0.00186265 0.00156866 0.000841923 Ru
0.374993 0.124248 0.749829 Ru
