p+0.04_10.9562_0 dE= 0.01203
actual force   predicted force   difference
-0.60133 -0.60161 0.00027
-0.00000 0.00000 -0.00000
0.00000 0.00000 -0.00000
0.05114 0.05636 -0.00522
-0.05516 -0.06134 0.00617
0.00000 0.00000 -0.00000
0.05114 0.05636 -0.00522
-0.00000 0.00000 -0.00000
-0.05516 -0.06134 0.00617
-0.00705 -0.00732 0.00027
-0.00191 -0.00000 -0.00191
-0.00191 -0.00000 -0.00191
0.01039 0.01012 0.00027
0.01103 0.01103 0.00000
0.00000 -0.00000 0.00000
-0.00123 0.00000 -0.00123
-0.00015 0.00000 -0.00015
0.00000 0.00000 0.00000
0.00409 0.00357 0.00053
0.00454 0.00441 0.00013
0.00100 0.00120 -0.00020
0.00718 0.00711 0.00007
0.00425 0.00441 -0.00016
-0.00425 -0.00441 0.00016
0.01039 0.01012 0.00027
-0.00000 -0.00000 0.00000
0.01103 0.01103 0.00000
0.00409 0.00357 0.00053
0.00100 0.00120 -0.00020
0.00454 0.00441 0.00013
-0.00123 0.00000 -0.00123
-0.00000 0.00000 -0.00000
-0.00015 0.00000 -0.00015
0.00718 0.00711 0.00007
-0.00425 -0.00441 0.00016
0.00425 0.00441 -0.00016
0.00095 0.00068 0.00027
-0.00000 -0.00000 0.00000
0.00000 -0.00000 0.00000
0.00358 0.00357 0.00001
0.00139 0.00120 0.00020
0.00426 0.00441 -0.00015
0.00358 0.00357 0.00001
0.00426 0.00441 -0.00015
0.00139 0.00120 0.00020
-0.00705 -0.00732 0.00027
0.00191 -0.00000 0.00191
0.00191 -0.00000 0.00191
0.00320 0.00000 0.00320
-0.00000 0.00000 -0.00000
0.00000 0.00000 0.00000
0.00409 0.00357 0.00053
-0.00100 -0.00120 0.00020
-0.00454 -0.00441 -0.00013
0.00409 0.00357 0.00053
-0.00454 -0.00441 -0.00013
-0.00100 -0.00120 0.00020
0.00758 0.00711 0.00047
-0.00460 -0.00441 -0.00019
-0.00460 -0.00441 -0.00019
0.00095 0.00068 0.00027
-0.00000 0.00000 -0.00000
0.00000 0.00000 -0.00000
0.00358 0.00357 0.00001
0.00139 0.00120 0.00020
-0.00426 -0.00441 0.00015
0.00358 0.00357 0.00001
-0.00426 -0.00441 0.00015
0.00139 0.00120 0.00020
-0.00164 0.00000 -0.00164
0.00004 0.00000 0.00004
0.00004 0.00000 0.00004
0.01039 0.01012 0.00027
-0.00000 -0.00000 0.00000
-0.01103 -0.01103 0.00000
0.00409 0.00357 0.00053
0.00100 0.00120 -0.00020
-0.00454 -0.00441 -0.00013
0.06212 0.05636 0.00576
-0.00000 0.00000 -0.00000
-0.06751 -0.06134 -0.00617
0.00758 0.00711 0.00047
0.00460 0.00441 0.00019
-0.00460 -0.00441 -0.00019
-0.01320 -0.01347 0.00027
-0.00000 0.00000 -0.00000
0.00046 -0.00000 0.00046
0.00358 0.00357 0.00001
-0.00139 -0.00120 -0.00020
-0.00426 -0.00441 0.00015
-0.00119 0.00000 -0.00119
-0.00000 0.00000 -0.00000
0.00038 0.00000 0.00038
-0.00164 0.00000 -0.00164
-0.00004 0.00000 -0.00004
0.00004 0.00000 0.00004
0.01039 0.01012 0.00027
-0.01103 -0.01103 0.00000
0.00000 -0.00000 0.00000
0.06212 0.05636 0.00576
-0.06751 -0.06134 -0.00617
0.00000 0.00000 -0.00000
0.00409 0.00357 0.00053
-0.00454 -0.00441 -0.00013
0.00100 0.00120 -0.00020
0.00758 0.00711 0.00047
-0.00460 -0.00441 -0.00019
0.00460 0.00441 0.00019
-0.01320 -0.01347 0.00027
0.00046 -0.00000 0.00046
0.00000 0.00000 -0.00000
-0.00119 0.00000 -0.00119
0.00038 0.00000 0.00038
0.00000 0.00000 0.00000
0.00358 0.00357 0.00001
-0.00426 -0.00441 0.00015
-0.00139 -0.00120 -0.00020
-0.00164 0.00000 -0.00164
0.00004 0.00000 0.00004
-0.00004 0.00000 -0.00004
0.04048 0.03906 0.00142
-0.00000 0.00000 -0.00000
0.00000 0.00000 -0.00000
0.06212 0.05636 0.00576
0.06751 0.06134 0.00617
0.00000 0.00000 -0.00000
0.06212 0.05636 0.00576
-0.00000 0.00000 -0.00000
0.06751 0.06134 0.00617
0.00758 0.00711 0.00047
0.00460 0.00441 0.00019
0.00460 0.00441 0.00019
-0.00345 0.00000 -0.00345
-0.00000 0.00000 -0.00000
0.00000 0.00000 0.00000
-0.00119 0.00000 -0.00119
-0.00038 0.00000 -0.00038
0.00000 0.00000 0.00000
-0.00119 0.00000 -0.00119
-0.00000 0.00000 -0.00000
-0.00038 0.00000 -0.00038
-0.00164 0.00000 -0.00164
-0.00004 0.00000 -0.00004
-0.00004 0.00000 -0.00004
0.03818 0.03906 -0.00088
-0.00000 0.00000 -0.00000
0.00000 0.00000 -0.00000
-0.00123 0.00000 -0.00123
0.00015 0.00000 0.00015
0.00000 0.00000 0.00000
-0.00123 0.00000 -0.00123
-0.00000 0.00000 -0.00000
0.00015 0.00000 0.00015
0.00718 0.00711 0.00007
-0.00425 -0.00441 0.00016
-0.00425 -0.00441 0.00016
-0.01320 -0.01347 0.00027
-0.00046 -0.00000 -0.00045
0.00000 0.00000 -0.00000
0.05114 0.05636 -0.00522
0.05516 0.06134 -0.00617
0.00000 0.00000 -0.00000
0.00358 0.00357 0.00001
0.00426 0.00441 -0.00015
-0.00139 -0.00120 -0.00020
-0.00705 -0.00732 0.00027
0.00191 0.00000 0.00191
-0.00191 0.00000 -0.00191
-0.01320 -0.01347 0.00027
-0.00000 0.00000 -0.00000
-0.00046 -0.00000 -0.00045
0.00358 0.00357 0.00001
-0.00139 -0.00120 -0.00020
0.00426 0.00441 -0.00015
0.05114 0.05636 -0.00522
-0.00000 0.00000 -0.00000
0.05516 0.06134 -0.00617
-0.00705 -0.00732 0.00027
-0.00191 0.00000 -0.00191
0.00191 0.00000 0.00191
0.00320 0.00000 0.00320
-0.00000 0.00000 -0.00000
0.00000 0.00000 0.00000
0.00409 0.00357 0.00053
-0.00100 -0.00120 0.00020
0.00454 0.00441 0.00013
0.00409 0.00357 0.00053
0.00454 0.00441 0.00013
-0.00100 -0.00120 0.00020
0.00718 0.00711 0.00007
0.00425 0.00441 -0.00016
0.00425 0.00441 -0.00016
end
Phonon frequencies:
4205504190605.33887
4205504190605.33643
4205504190605.34082
4279807994627.98584
4279807994627.98438
4279807994627.98633
5644568275415.54590
5644568275415.54883
5644568275415.54590
875841691910.26782
1730638937729.68457
875841691910.27551
4245114186741.08252
4245114186741.08203
4456194714017.96094
