p+0.04_10.8241_0 dE= 0.01041
p+0.04_10.8241_1 dE= 0.00879
actual force   predicted force   difference
-0.52077 -0.52108 0.00031
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
-0.00089 -0.00126 0.00037
0.00156 0.00000 0.00156
0.00156 0.00000 0.00156
0.02744 0.03077 -0.00332
0.00000 0.00000 0.00000
0.03212 0.03737 -0.00525
0.02744 0.03077 -0.00332
0.03212 0.03737 -0.00525
0.00000 0.00000 0.00000
0.04233 0.04201 0.00031
0.03662 0.03662 0.00000
0.00000 0.00000 0.00000
0.00607 0.00488 0.00119
0.00330 0.00292 0.00037
-0.00330 -0.00292 -0.00037
0.00073 0.00017 0.00056
0.00322 0.00330 -0.00008
0.00128 0.00116 0.00012
0.03456 0.03077 0.00380
0.04256 0.03737 0.00519
0.00000 0.00000 0.00000
0.04233 0.04201 0.00031
0.00000 0.00000 0.00000
0.03662 0.03662 0.00000
0.00607 0.00488 0.00119
-0.00330 -0.00292 -0.00037
0.00330 0.00292 0.00037
0.03456 0.03077 0.00380
0.00000 0.00000 0.00000
0.04256 0.03737 0.00519
0.00073 0.00017 0.00056
0.00128 0.00116 0.00012
0.00322 0.00330 -0.00008
0.00762 0.00730 0.00031
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
-0.00089 -0.00126 0.00037
-0.00156 0.00000 -0.00156
-0.00156 0.00000 -0.00156
0.00018 0.00017 0.00001
-0.00332 -0.00330 -0.00002
0.00106 0.00116 -0.00010
0.00018 0.00017 0.00001
0.00106 0.00116 -0.00010
-0.00332 -0.00330 -0.00002
-0.00072 0.00000 -0.00072
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00607 0.00488 0.00119
0.00330 0.00292 0.00037
0.00330 0.00292 0.00037
0.00073 0.00017 0.00056
0.00322 0.00330 -0.00008
-0.00128 -0.00116 -0.00012
0.00073 0.00017 0.00056
-0.00128 -0.00116 -0.00012
0.00322 0.00330 -0.00008
0.00762 0.00730 0.00031
0.00000 0.00000 0.00000
-0.00000 0.00000 -0.00000
0.00001 0.00000 0.00001
0.00009 0.00000 0.00009
0.00009 0.00000 0.00009
0.00018 0.00017 0.00001
0.00332 0.00330 0.00002
0.00106 0.00116 -0.00010
0.00018 0.00017 0.00001
0.00106 0.00116 -0.00010
0.00332 0.00330 0.00002
0.04233 0.04201 0.00031
0.00000 0.00000 0.00000
-0.03662 -0.03662 0.00000
0.00450 0.00488 -0.00038
0.00254 0.00292 -0.00038
-0.00254 -0.00292 0.00038
-0.00111 0.00000 -0.00111
0.00000 0.00000 0.00000
0.00207 0.00000 0.00207
0.00073 0.00017 0.00056
0.00128 0.00116 0.00012
-0.00322 -0.00330 0.00008
-0.00084 -0.00115 0.00031
0.00000 0.00000 0.00000
0.00042 0.00000 0.00042
-0.00089 -0.00126 0.00037
0.00156 0.00000 0.00156
-0.00156 0.00000 -0.00156
0.02744 0.03077 -0.00332
0.00000 0.00000 0.00000
-0.03212 -0.03737 0.00525
0.00018 0.00017 0.00001
-0.00106 -0.00116 0.00010
-0.00332 -0.00330 -0.00002
0.04233 0.04201 0.00031
-0.03662 -0.03662 0.00000
0.00000 0.00000 0.00000
0.00450 0.00488 -0.00038
-0.00254 -0.00292 0.00038
0.00254 0.00292 -0.00038
0.00073 0.00017 0.00056
-0.00322 -0.00330 0.00008
0.00128 0.00116 0.00012
-0.00111 0.00000 -0.00111
0.00207 0.00000 0.00207
0.00000 0.00000 0.00000
-0.00084 -0.00115 0.00031
0.00042 0.00000 0.00042
0.00000 0.00000 0.00000
-0.00089 -0.00126 0.00037
-0.00156 0.00000 -0.00156
0.00156 0.00000 0.00156
0.00018 0.00017 0.00001
-0.00332 -0.00330 -0.00002
-0.00106 -0.00116 0.00010
0.02744 0.03077 -0.00332
-0.03212 -0.03737 0.00525
0.00000 0.00000 0.00000
0.03188 0.03009 0.00179
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00607 0.00488 0.00119
-0.00330 -0.00292 -0.00037
-0.00330 -0.00292 -0.00037
0.03456 0.03077 0.00380
0.00000 0.00000 0.00000
-0.04256 -0.03737 -0.00519
0.03456 0.03077 0.00380
-0.04256 -0.03737 -0.00519
0.00000 0.00000 0.00000
-0.00306 0.00000 -0.00306
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00001 0.00000 0.00001
-0.00009 0.00000 -0.00009
-0.00009 0.00000 -0.00009
-0.00158 0.00000 -0.00158
0.00000 0.00000 0.00000
0.00249 0.00000 0.00249
-0.00158 0.00000 -0.00158
0.00249 0.00000 0.00249
0.00000 0.00000 0.00000
0.02893 0.03009 -0.00116
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00450 0.00488 -0.00038
0.00254 0.00292 -0.00038
0.00254 0.00292 -0.00038
-0.00111 0.00000 -0.00111
0.00000 0.00000 0.00000
-0.00207 0.00000 -0.00207
-0.00111 0.00000 -0.00111
-0.00207 0.00000 -0.00207
0.00000 0.00000 0.00000
-0.00084 -0.00115 0.00031
-0.00042 0.00000 -0.00042
0.00000 0.00000 0.00000
0.00001 0.00000 0.00001
0.00009 0.00000 0.00009
-0.00009 0.00000 -0.00009
0.00018 0.00017 0.00001
0.00332 0.00330 0.00002
-0.00106 -0.00116 0.00010
-0.00158 0.00000 -0.00158
-0.00249 0.00000 -0.00249
0.00000 0.00000 0.00000
-0.00084 -0.00115 0.00031
0.00000 0.00000 0.00000
-0.00042 0.00000 -0.00042
0.00001 0.00000 0.00001
-0.00009 0.00000 -0.00009
0.00009 0.00000 0.00009
-0.00158 0.00000 -0.00158
0.00000 0.00000 0.00000
-0.00249 0.00000 -0.00249
0.00018 0.00017 0.00001
-0.00106 -0.00116 0.00010
0.00332 0.00330 0.00002
-0.00072 0.00000 -0.00072
0.00000 0.00000 0.00000
0.00000 0.00000 0.00000
0.00450 0.00488 -0.00038
-0.00254 -0.00292 0.00038
-0.00254 -0.00292 0.00038
0.00073 0.00017 0.00056
-0.00322 -0.00330 0.00008
-0.00128 -0.00116 -0.00012
0.00073 0.00017 0.00056
-0.00128 -0.00116 -0.00012
-0.00322 -0.00330 0.00008
-0.00160 -0.00089 -0.00071
0.03919 0.03410 0.00509
0.03919 0.03410 0.00509
-0.28038 -0.28066 0.00028
-0.24094 -0.24103 0.00010
-0.24094 -0.24103 0.00010
0.00004 -0.00155 0.00159
-0.00801 -0.00717 -0.00084
0.00171 0.00141 0.00029
0.00004 -0.00155 0.00159
0.00171 0.00141 0.00029
-0.00801 -0.00717 -0.00084
0.00325 0.00345 -0.00021
0.00276 0.00300 -0.00024
-0.00152 -0.00167 0.00015
0.05441 0.05407 0.00034
0.05407 0.05402 0.00005
0.00224 0.00212 0.00012
-0.00285 0.00000 -0.00285
-0.00280 0.00000 -0.00280
0.00077 0.00000 0.00077
0.00313 0.00231 0.00082
0.00982 0.00886 0.00096
0.00240 0.00184 0.00057
0.00325 0.00345 -0.00021
-0.00152 -0.00167 0.00015
0.00276 0.00300 -0.00024
0.05441 0.05407 0.00034
0.00224 0.00212 0.00012
0.05407 0.05402 0.00005
0.00313 0.00231 0.00082
0.00240 0.00184 0.00057
0.00982 0.00886 0.00096
-0.00285 0.00000 -0.00285
0.00077 0.00000 0.00077
-0.00280 0.00000 -0.00280
0.00013 -0.00089 0.00102
0.02962 0.03410 -0.00448
0.02962 0.03410 -0.00448
0.00219 0.00190 0.00029
0.03774 0.03764 0.00010
0.03774 0.03764 0.00010
0.00197 0.00231 -0.00034
0.00167 0.00184 -0.00017
0.00810 0.00886 -0.00076
0.00197 0.00231 -0.00034
0.00810 0.00886 -0.00076
0.00167 0.00184 -0.00017
0.00056 0.00053 0.00003
-0.00266 -0.00283 0.00017
-0.00266 -0.00283 0.00017
-0.00032 0.00000 -0.00032
-0.00129 0.00000 -0.00129
-0.00129 0.00000 -0.00129
-0.00001 -0.00039 0.00038
0.00413 0.00416 -0.00003
0.00244 0.00230 0.00014
-0.00001 -0.00039 0.00038
0.00244 0.00230 0.00014
0.00413 0.00416 -0.00003
0.00021 0.00000 0.00021
0.00054 0.00000 0.00054
0.00054 0.00000 0.00054
0.00217 0.00190 0.00027
-0.00080 -0.00089 0.00010
-0.00080 -0.00089 0.00010
-0.00166 -0.00183 0.00018
-0.00253 -0.00280 0.00027
-0.00193 -0.00184 -0.00009
-0.00166 -0.00183 0.00018
-0.00193 -0.00184 -0.00009
-0.00253 -0.00280 0.00027
0.00393 0.00345 0.00048
0.00357 0.00300 0.00057
-0.00165 -0.00167 0.00002
0.01033 0.01011 0.00022
0.00220 0.00212 0.00007
-0.00795 -0.00809 0.00014
-0.00155 -0.00183 0.00028
-0.00281 -0.00280 -0.00001
-0.00147 -0.00184 0.00037
-0.00272 -0.00155 -0.00116
0.00138 0.00141 -0.00003
-0.00594 -0.00717 0.00123
0.00013 0.00000 0.00013
-0.00184 0.00000 -0.00184
-0.00177 0.00000 -0.00177
0.00194 0.00168 0.00027
-0.00103 -0.00113 0.00010
0.01562 0.01502 0.00061
