p+0.04_10.912_0 dE= 0.01142
p+0.04_10.912_1 dE= 0.01021
actual force   predicted force   difference
-0.42336 -0.42371 0.00035
-0.27191 -0.27214 0.00024
-0.27191 -0.27214 0.00024
0.01021 0.00898 0.00123
-0.01487 -0.01451 -0.00036
0.00021 0.00002 0.00019
0.01021 0.00898 0.00123
0.00021 0.00002 0.00019
-0.01487 -0.01451 -0.00036
0.00049 0.00060 -0.00011
0.03933 0.03514 0.00419
0.03933 0.03514 0.00419
0.02535 0.02491 0.00044
0.02199 0.02182 0.00017
0.00167 0.00144 0.00023
-0.00316 0.00000 -0.00316
-0.00034 0.00000 -0.00034
-0.00113 0.00000 -0.00113
0.00430 0.00358 0.00072
0.01081 0.01019 0.00062
0.00424 0.00391 0.00033
0.00780 0.00769 0.00011
0.00461 0.00480 -0.00019
-0.00162 -0.00179 0.00017
0.02535 0.02491 0.00044
0.00167 0.00144 0.00023
0.02199 0.02182 0.00017
0.00430 0.00358 0.00072
0.00424 0.00391 0.00033
0.01081 0.01019 0.00062
-0.00316 0.00000 -0.00316
-0.00113 0.00000 -0.00113
-0.00034 0.00000 -0.00034
0.00780 0.00769 0.00011
-0.00162 -0.00179 0.00017
0.00461 0.00480 -0.00019
0.00118 0.00085 0.00033
0.02797 0.02773 0.00024
0.02797 0.02773 0.00024
0.00351 0.00358 -0.00007
0.00400 0.00391 0.00009
0.01021 0.01019 0.00002
0.00351 0.00358 -0.00007
0.01021 0.01019 0.00002
0.00400 0.00391 0.00009
0.00116 0.00060 0.00055
0.03151 0.03514 -0.00364
0.03151 0.03514 -0.00364
0.00195 0.00000 0.00195
0.00033 0.00000 0.00033
0.00033 0.00000 0.00033
-0.00004 -0.00030 0.00025
0.00327 0.00307 0.00021
0.00363 0.00360 0.00003
-0.00004 -0.00030 0.00025
0.00363 0.00360 0.00003
0.00327 0.00307 0.00021
0.00350 0.00314 0.00036
-0.00179 -0.00193 0.00014
-0.00179 -0.00193 0.00014
0.00123 0.00085 0.00038
0.00137 0.00113 0.00024
0.00137 0.00113 0.00024
0.00013 -0.00044 0.00057
-0.00045 -0.00075 0.00030
-0.00029 -0.00042 0.00013
0.00013 -0.00044 0.00057
-0.00029 -0.00042 0.00013
-0.00045 -0.00075 0.00030
-0.00212 0.00000 -0.00212
-0.00012 0.00000 -0.00012
-0.00012 0.00000 -0.00012
0.00774 0.00748 0.00027
0.00169 0.00144 0.00025
-0.00255 -0.00285 0.00030
-0.00023 -0.00044 0.00020
-0.00050 -0.00075 0.00024
-0.00014 -0.00042 0.00028
0.00821 0.00898 -0.00077
0.00037 0.00002 0.00035
-0.01332 -0.01451 0.00119
0.00831 0.00769 0.00062
0.00536 0.00480 0.00056
-0.00149 -0.00179 0.00030
-0.01084 -0.01079 -0.00005
-0.00604 -0.00597 -0.00006
0.01840 0.01764 0.00075
0.00024 -0.00030 0.00053
0.00329 0.00307 0.00022
0.00402 0.00360 0.00043
-0.00003 0.00000 -0.00003
-0.00121 0.00000 -0.00121
-0.00217 0.00000 -0.00217
-0.00207 0.00000 -0.00207
-0.00140 0.00000 -0.00140
-0.00154 0.00000 -0.00154
0.00774 0.00748 0.00027
-0.00255 -0.00285 0.00030
0.00169 0.00144 0.00025
0.00821 0.00898 -0.00077
-0.01332 -0.01451 0.00119
0.00037 0.00002 0.00035
-0.00023 -0.00044 0.00020
-0.00014 -0.00042 0.00028
-0.00050 -0.00075 0.00024
0.00831 0.00769 0.00062
-0.00149 -0.00179 0.00030
0.00536 0.00480 0.00056
-0.01084 -0.01079 -0.00005
0.01840 0.01764 0.00075
-0.00604 -0.00597 -0.00006
-0.00003 0.00000 -0.00003
-0.00217 0.00000 -0.00217
-0.00121 0.00000 -0.00121
0.00024 -0.00030 0.00053
0.00402 0.00360 0.00043
0.00329 0.00307 0.00022
