3.935049 0.000000 0.000000
0.000000 3.935049 0.000000
0.000000 0.000000 3.935049
-1.000000 1.000000 -1.000000
1.000000 -1.000000 -1.000000
-2.000000 -2.000000 0.000000
-1.000000 -2.000000 -1.000000 Ir
-2.000000 -1.000000 -1.000000 Ir
-1.000000 -1.000000 -1.000000 Ru
0.000000 -1.000000 -1.000000 Ru
-1.000000 0.000000 -1.000000 Ru
-2.000000 -2.000000 -1.000000 Ru
-1.000000 -1.000000 -2.000000 Ir
-2.000000 -2.000000 -2.000000 Ir
-1.000000 -1.500000 -0.500000 Ru
-1.000000 -1.500000 -1.500000 Ru
-1.000000 -0.500000 -0.500000 Ru
0.000000 -0.500000 -0.500000 Ru
0.000000 -0.500000 -1.500000 Ru
-2.000000 -1.500000 -0.500000 Ru
-1.000000 -0.500000 -1.500000 Ru
-2.000000 -1.500000 -1.500000 Ru
-1.500000 -1.000000 -1.500000 Ru
-1.500000 -1.000000 -0.500000 Ru
-0.500000 -1.000000 -0.500000 Ru
-0.500000 0.000000 -1.500000 Ru
-0.500000 0.000000 -0.500000 Ru
-1.500000 -2.000000 -0.500000 Ru
-0.500000 -1.000000 -1.500000 Ru
-1.500000 -2.000000 -1.500000 Ru
-0.500000 -1.500000 -1.000000 Ru
-1.500000 -0.500000 -1.000000 Ru
-0.500000 -0.500000 -1.000000 Ru
-1.500000 -2.500000 -1.000000 Ru
-2.500000 -1.500000 -1.000000 Ru
-1.500000 -1.500000 -1.000000 Ru
-0.500000 -0.500000 -2.000000 Ru
-1.500000 -1.500000 -2.000000 Ru
