p-0.04_10.989_0 dE= 0.01070
p+0.04_10.989_0 dE= 0.01084
p-0.04_10.989_1 dE= 0.01127
p+0.04_10.989_1 dE= 0.01124
p_uns_0.2_1000_2887 dE= 0.80617
p_uns_0.2_1000_3535 dE= 3.40470
p_uns_0.2_1000_998 dE= 0.74183
actual force   predicted force   difference
0.37638 0.40624 -0.02986
0.38060 0.41532 -0.03472
0.00063 0.00148 -0.00086
0.00561 -0.00231 0.00792
-0.04048 -0.04197 0.00148
0.05258 0.04656 0.00602
0.03044 0.01923 0.01121
-0.03148 -0.02821 -0.00326
0.00040 0.00526 -0.00486
-0.01011 -0.00832 -0.00179
0.01483 0.01185 0.00298
0.01991 0.01488 0.00503
-0.04982 -0.04662 -0.00320
-0.06150 -0.06215 0.00065
0.00119 -0.00008 0.00127
-0.04816 -0.04235 -0.00581
-0.02493 -0.02221 -0.00272
-0.06791 -0.06027 -0.00764
-0.00083 0.01242 -0.01325
-0.00291 0.00554 -0.00845
0.00043 0.00370 -0.00327
0.00003 -0.00428 0.00431
-0.00020 -0.00839 0.00819
-0.00169 -0.00191 0.00022
0.00202 -0.01019 0.01222
-0.01026 -0.01087 0.00061
0.00053 -0.00262 0.00315
0.00192 -0.01242 0.01434
-0.01162 0.00364 -0.01525
-0.01256 -0.01187 -0.00070
-0.00258 -0.03498 0.03240
-0.00477 -0.04186 0.03709
0.00036 -0.00565 0.00601
-0.00678 0.00194 -0.00872
-0.00650 -0.00218 -0.00432
-0.00818 -0.00963 0.00145
0.00642 0.00328 0.00314
-0.00625 -0.01226 0.00600
0.00040 -0.00176 0.00216
0.00065 0.01087 -0.01022
-0.00417 0.00126 -0.00543
0.00365 -0.00219 0.00584
-0.00225 -0.00202 -0.00023
0.00265 -0.01465 0.01730
0.00122 0.00576 -0.00454
-0.00169 0.00000 -0.00169
0.00238 0.00000 0.00238
-0.00005 0.00000 -0.00005
-0.01182 -0.00668 -0.00514
-0.00698 -0.00224 -0.00474
0.00034 -0.00264 0.00298
0.00373 0.00000 0.00373
0.00771 0.00000 0.00771
0.00032 0.00000 0.00032
-0.04064 -0.03067 -0.00998
-0.10635 -0.07810 -0.02825
0.00130 0.00054 0.00076
-0.00315 0.00576 -0.00891
-0.00804 -0.00384 -0.00419
0.00542 0.00740 -0.00198
-0.05126 -0.05841 0.00714
-0.00659 -0.00545 -0.00114
0.00051 -0.00258 0.00309
-0.00286 0.00386 -0.00672
0.00531 0.00646 -0.00115
-0.00567 -0.00063 -0.00504
-0.00326 0.00081 -0.00407
-0.00194 0.00816 -0.01010
0.00042 -0.00963 0.01005
0.00601 0.00000 0.00601
0.00036 0.00000 0.00036
-0.00181 0.00000 -0.00181
-0.08451 -0.07218 -0.01233
0.01553 0.00831 0.00722
0.00043 0.00731 -0.00687
-0.01536 -0.01553 0.00017
-0.00738 -0.01292 0.00554
0.01426 0.01319 0.00107
-0.01186 0.00186 -0.01371
