2.74725 -0.00052 0.00182
-1.37370 2.37913 -0.00290
-0.00262 0.00548 4.46606
4.00000 4.00000 -0.00000
-0.00000 4.00000 -0.00000
-0.00000 0.00000 3.00000
0.99910 4.99938 3.00948 Ir
0.66581 4.33269 0.50054 Ir
0.99911 1.99940 3.00053 Ir
0.66581 1.33269 0.50054 Ir
1.99911 5.99940 3.00053 Ir
1.66581 5.33269 0.50054 Ir
0.99911 2.99940 3.00053 Ir
0.66581 2.33269 0.50054 Ir
1.99911 2.99940 3.00053 Ir
1.66581 2.33269 0.50054 Ir
2.99911 6.99940 3.00053 Ir
2.66581 6.33269 0.50054 Ir
0.99911 3.99940 3.00053 Ir
0.66581 3.33269 0.50054 Ir
1.99911 3.99940 3.00053 Ir
1.66581 3.33269 0.50054 Ir
2.99911 3.99940 3.00053 Ir
2.66581 3.33269 0.50054 Ir
3.99911 7.99940 3.00053 Ir
3.66581 7.33269 0.50054 Ir
1.99911 4.99940 3.00053 Ir
1.66581 4.33269 0.50054 Ir
2.99911 4.99940 3.00053 Ir
2.66581 4.33269 0.50054 Ir
3.99911 4.99940 3.00053 Ir
3.66581 4.33269 0.50054 Ir
2.99911 5.99940 3.00053 Ir
2.66581 5.33269 0.50054 Ir
3.99911 5.99940 3.00053 Ir
3.66581 5.33269 0.50054 Ir
3.99911 6.99940 3.00053 Ir
3.66581 6.33269 0.50054 Ir
0.99911 4.99940 1.00053 Ir
0.66581 4.33269 1.50054 Ir
0.99911 1.99940 1.00053 Ir
0.66581 1.33269 1.50054 Ir
1.99911 5.99940 1.00053 Ir
1.66581 5.33269 1.50054 Ir
0.99911 2.99940 1.00053 Ir
0.66581 2.33269 1.50054 Ir
1.99911 2.99940 1.00053 Ir
1.66581 2.33269 1.50054 Ir
2.99911 6.99940 1.00053 Ir
2.66581 6.33269 1.50054 Ir
0.99911 3.99940 1.00053 Ir
0.66581 3.33269 1.50054 Ir
1.99911 3.99940 1.00053 Ir
1.66581 3.33269 1.50054 Ir
2.99911 3.99940 1.00053 Ir
2.66581 3.33269 1.50054 Ir
3.99911 7.99940 1.00053 Ir
3.66581 7.33269 1.50054 Ir
1.99911 4.99940 1.00053 Ir
1.66581 4.33269 1.50054 Ir
2.99911 4.99940 1.00053 Ir
2.66581 4.33269 1.50054 Ir
3.99911 4.99940 1.00053 Ir
3.66581 4.33269 1.50054 Ir
2.99911 5.99940 1.00053 Ir
2.66581 5.33269 1.50054 Ir
3.99911 5.99940 1.00053 Ir
3.66581 5.33269 1.50054 Ir
3.99911 6.99940 1.00053 Ir
3.66581 6.33269 1.50054 Ir
0.99911 4.99940 2.00053 Ir
0.66581 4.33269 2.50054 Ir
0.99911 1.99940 2.00053 Ir
0.66581 1.33269 2.50054 Ir
1.99911 5.99940 2.00053 Ir
1.66581 5.33269 2.50054 Ir
0.99911 2.99940 2.00053 Ir
0.66581 2.33269 2.50054 Ir
1.99911 2.99940 2.00053 Ir
1.66581 2.33269 2.50054 Ir
2.99911 6.99940 2.00053 Ir
2.66581 6.33269 2.50054 Ir
0.99911 3.99940 2.00053 Ir
0.66581 3.33269 2.50054 Ir
1.99911 3.99940 2.00053 Ir
1.66581 3.33269 2.50054 Ir
2.99911 3.99940 2.00053 Ir
2.66581 3.33269 2.50054 Ir
3.99911 7.99940 2.00053 Ir
3.66581 7.33269 2.50054 Ir
1.99911 4.99940 2.00053 Ir
1.66581 4.33269 2.50054 Ir
2.99911 4.99940 2.00053 Ir
2.66581 4.33269 2.50054 Ir
3.99911 4.99940 2.00053 Ir
3.66581 4.33269 2.50054 Ir
2.99911 5.99940 2.00053 Ir
2.66581 5.33269 2.50054 Ir
3.99911 5.99940 2.00053 Ir
3.66581 5.33269 2.50054 Ir
3.99911 6.99940 2.00053 Ir
3.66581 6.33269 2.50054 Ir
