2.74725 -0.00052 0.00182
-1.37370 2.37913 -0.00290
-0.00262 0.00548 4.46606
-1.00000 -1.00000 0.00000
3.00000 -2.00000 -1.00000
0.00000 -0.00000 4.00000
0.93354 -1.99811 -0.00306 Ir
1.73762 -1.66930 0.50848 Ir
1.99911 -2.00060 0.00053 Ir
1.66581 -2.66731 0.50054 Ir
-0.00089 -1.00060 0.00053 Ir
0.66581 -0.66731 0.50054 Ir
0.99911 -1.00060 0.00053 Ir
0.66581 -1.66731 0.50054 Ir
2.99911 -2.00060 3.00053 Ir
-0.33419 -0.66731 0.50054 Ir
0.99911 -2.00060 1.00053 Ir
1.66581 -1.66731 1.50054 Ir
1.99911 -2.00060 1.00053 Ir
1.66581 -2.66731 1.50054 Ir
-0.00089 -1.00060 1.00053 Ir
0.66581 -0.66731 1.50054 Ir
1.00107 -0.99669 1.00053 Ir
0.66581 -1.66731 1.50054 Ir
2.99911 -2.00060 0.00053 Ir
-0.33419 -0.66731 1.50054 Ir
1.00107 -1.99669 2.00053 Ir
1.66581 -1.66731 2.50054 Ir
2.03855 -1.99762 1.98910 Ir
1.66581 -2.66731 2.50054 Ir
-0.00089 -1.00060 2.00053 Ir
0.66581 -0.66731 2.50054 Ir
0.99911 -1.00060 2.00053 Ir
0.66581 -1.66731 2.50054 Ir
2.99911 -2.00060 1.00053 Ir
-0.33419 -0.66731 2.50054 Ir
0.99911 -2.00060 3.00053 Ir
1.66581 -1.66731 -0.49946 Ir
1.99911 -2.00064 3.01694 Ir
1.66583 -2.66728 -0.49670 Ir
-0.00088 -1.00055 2.98050 Ir
0.66578 -0.66739 3.51692 Ir
1.01344 -0.96297 3.00054 Ir
0.66581 -1.66731 3.50054 Ir
2.99911 -2.00060 2.00053 Ir
-0.33419 -0.66731 3.50054 Ir
