2.74725 -0.00052 0.00182
-1.37370 2.37913 -0.00290
-0.00262 0.00548 4.46606
-1.00000 -1.00000 0.00000
3.00000 -2.00000 -1.00000
0.00000 -0.00000 4.00000
0.99911 -2.00060 0.00053 Ir
1.66581 -1.66731 0.50054 Ir
1.99911 -2.00060 0.00053 Ir
1.66581 -2.66731 0.50054 Ir
-0.00089 -1.00060 0.00053 Ir
0.66581 -0.66731 0.50054 Ir
0.99911 -1.00060 0.00053 Ir
0.66581 -1.66731 0.50054 Ir
2.99911 -2.00060 3.00053 Ir
-0.33419 -0.66731 0.50054 Ir
0.99911 -2.00060 1.00053 Ir
1.66581 -1.66731 1.50054 Ir
1.99911 -2.00060 1.00053 Ir
1.66581 -2.66731 1.50054 Ir
-0.00089 -1.00060 1.00053 Ir
0.66581 -0.66731 1.50054 Ir
0.99911 -1.00060 1.00053 Ir
0.66581 -1.66731 1.50054 Ir
2.99911 -2.00060 0.00053 Ir
-0.33419 -0.66731 1.50054 Ir
0.99911 -2.00060 2.00053 Ir
1.66581 -1.66731 2.50054 Ir
1.99911 -2.00060 2.00053 Ir
1.66581 -2.66731 2.50054 Ir
-0.00089 -1.00060 2.00053 Ir
0.66581 -0.66731 2.50054 Ir
0.99911 -1.00060 2.00053 Ir
0.66581 -1.66731 2.50054 Ir
2.99911 -2.00060 1.00053 Ir
-0.33419 -0.66731 2.50054 Ir
0.99911 -2.00060 3.00053 Ir
1.66581 -1.66731 -0.49946 Ir
1.99911 -2.00060 3.00053 Ir
1.66581 -2.66731 -0.49946 Ir
-0.00089 -1.00060 3.00053 Ir
0.66581 -0.66731 3.50054 Ir
0.99911 -1.00060 3.00053 Ir
0.66581 -1.66731 3.50054 Ir
2.99911 -2.00060 2.00053 Ir
-0.33419 -0.66731 3.50054 Ir
