2.74725 -0.00052 0.00182
-1.37370 2.37913 -0.00290
-0.00262 0.00548 4.46606
-3.00000 1.00000 -0.00000
-5.00000 -5.00000 0.00000
-2.00000 -1.00000 3.00000
-8.00138 -4.00192 3.00183 Ir
-6.33480 -3.66825 0.50214 Ir
-7.00089 -4.00060 3.00053 Ir
-5.33419 -3.66731 0.50054 Ir
-6.00089 -4.00060 3.00053 Ir
-4.33419 -3.66725 0.47819 Ir
-8.00089 -3.00060 3.00053 Ir
-6.33419 -2.66731 0.50054 Ir
-7.00089 -3.00060 3.00053 Ir
-5.33419 -2.66731 0.50054 Ir
-6.00089 -3.00060 3.00053 Ir
-4.35840 -2.66731 0.50055 Ir
-5.00089 -3.00060 3.00053 Ir
-3.33419 -2.66731 0.50054 Ir
-7.00089 -2.00060 3.00053 Ir
-5.30991 -1.66730 0.50053 Ir
-5.97286 -1.94454 3.00055 Ir
-4.33419 -1.66731 0.50054 Ir
-5.00089 -2.00060 3.00053 Ir
-3.36049 -1.71989 0.50051 Ir
-4.00089 -2.00060 3.00053 Ir
-2.33419 -1.66727 0.48560 Ir
-6.00089 -1.00060 3.00053 Ir
-4.33419 -0.66731 0.50054 Ir
-5.00085 -1.00052 3.00053 Ir
-3.33419 -0.66731 0.50054 Ir
-4.00089 -1.00060 3.00053 Ir
-2.33419 -0.66731 0.50054 Ir
-3.00089 -1.00060 3.00053 Ir
-1.33419 -0.66731 0.50054 Ir
-10.02360 -5.00061 3.00054 Ir
-3.33419 0.33269 0.50054 Ir
-9.03592 -5.07066 3.00049 Ir
-2.33419 0.33269 0.50054 Ir
-8.00089 -5.00060 3.00053 Ir
-6.39486 -4.66732 0.50056 Ir
-7.00089 -5.00060 3.00053 Ir
-5.33419 -4.66731 0.50054 Ir
-8.93254 -4.00059 3.00050 Ir
-7.29476 -3.58844 0.50057 Ir
-5.00089 -4.00060 1.00053 Ir
-5.33420 -4.66741 1.54532 Ir
-7.00089 -3.00060 1.00053 Ir
-7.29774 -3.66730 1.50052 Ir
-6.00089 -3.00060 1.00108 Ir
-6.33419 -3.66731 1.50054 Ir
-5.00089 -3.00060 1.00053 Ir
-5.34949 -3.74626 1.50049 Ir
-4.00089 -3.00060 1.00053 Ir
-4.33419 -3.66725 1.47810 Ir
-6.00089 -2.00060 1.00053 Ir
-6.28560 -2.66730 1.50052 Ir
-5.00089 -2.00060 1.00053 Ir
-5.33420 -2.66737 1.53042 Ir
-4.00089 -2.00060 1.00053 Ir
-4.33419 -2.66731 1.50054 Ir
-3.00089 -2.00060 1.00053 Ir
-3.33419 -2.66731 1.50054 Ir
-5.00089 -1.00060 1.00053 Ir
-5.27352 -1.66729 1.50051 Ir
-4.00089 -1.00060 1.00053 Ir
-4.33419 -1.66731 1.50054 Ir
-3.00089 -1.00060 1.00053 Ir
-3.33419 -1.66731 1.50054 Ir
-2.00089 -1.00060 1.00053 Ir
-2.33420 -1.66732 1.50795 Ir
-4.00089 -0.00060 1.00053 Ir
-4.28560 -0.66730 1.50052 Ir
-3.00089 -0.00060 1.00053 Ir
-3.33419 -0.66725 1.47815 Ir
-2.00089 -0.00060 1.00053 Ir
-2.33419 -0.66731 1.50054 Ir
-5.97990 -4.95863 1.00054 Ir
-1.33419 -0.66731 1.50054 Ir
-8.00089 -4.00060 1.00053 Ir
-8.33419 -4.66731 1.50054 Ir
-7.00089 -4.00060 1.00053 Ir
-7.33420 -4.66737 1.53038 Ir
-6.00089 -4.00060 1.00053 Ir
-6.33419 -4.66731 1.50054 Ir
-7.00089 -4.00060 2.00053 Ir
-7.33419 -4.66731 2.50054 Ir
-6.00089 -4.00060 2.00053 Ir
-6.33419 -4.66731 2.50054 Ir
-4.97287 -3.94457 2.00056 Ir
-8.33419 -3.66731 2.50054 Ir
-7.00089 -3.00060 2.00053 Ir
-7.33419 -3.66731 2.50054 Ir
-6.01492 -3.02867 2.00051 Ir
-6.33419 -3.66731 2.50054 Ir
-5.00089 -3.00060 2.00053 Ir
-5.30994 -3.66730 2.50053 Ir
-4.00089 -3.00060 2.00053 Ir
-7.33419 -2.66727 2.48566 Ir
-6.00089 -2.00060 2.00053 Ir
-6.33419 -2.66731 2.50054 Ir
-5.01485 -2.02853 2.00051 Ir
-5.33419 -2.66731 2.50054 Ir
-4.00089 -2.00060 2.00053 Ir
-4.33419 -2.66731 2.50054 Ir
-3.00089 -2.00060 2.00053 Ir
-6.33419 -1.66731 2.50054 Ir
-5.00089 -1.00060 2.00053 Ir
-5.33419 -1.66731 2.50054 Ir
-4.00089 -1.00060 2.00053 Ir
-4.33420 -1.66739 2.53785 Ir
-3.00092 -1.00060 2.00053 Ir
-3.33419 -1.66731 2.50054 Ir
-2.02890 -1.05663 2.00050 Ir
-5.33419 -0.66729 2.49313 Ir
-4.00089 -0.00060 2.00053 Ir
-4.33419 -0.66731 2.50054 Ir
-8.00089 -5.00060 2.00053 Ir
-3.33419 -0.66731 2.50054 Ir
-7.00089 -5.00060 2.00053 Ir
-2.33419 -0.66731 2.50054 Ir
-6.00089 -5.00060 2.00097 Ir
-9.33419 -4.66731 2.50054 Ir
-8.02368 -4.00061 2.00054 Ir
-8.33419 -4.66731 2.50054 Ir
