2.74725 -0.00052 0.00182
-1.37370 2.37913 -0.00290
-0.00262 0.00548 4.46606
-3.00000 1.00000 -0.00000
-5.00000 -5.00000 0.00000
-2.00000 -1.00000 3.00000
-8.00089 -4.00060 3.00053 Ir
-6.33419 -3.66731 0.50054 Ir
-7.00089 -4.00060 3.00053 Ir
-5.33419 -3.66731 0.50054 Ir
-6.00089 -4.00060 3.00053 Ir
-4.33419 -3.66731 0.50054 Ir
-8.00089 -3.00060 3.00053 Ir
-6.33419 -2.66731 0.50054 Ir
-7.00089 -3.00060 3.00053 Ir
-5.33419 -2.66731 0.50054 Ir
-6.00089 -3.00060 3.00053 Ir
-4.33419 -2.66731 0.50054 Ir
-5.00089 -3.00060 3.00053 Ir
-3.33419 -2.66731 0.50054 Ir
-7.00089 -2.00060 3.00053 Ir
-5.33419 -1.66731 0.50054 Ir
-6.00089 -2.00060 3.00053 Ir
-4.33419 -1.66731 0.50054 Ir
-5.00089 -2.00060 3.00053 Ir
-3.33419 -1.66731 0.50054 Ir
-4.00089 -2.00060 3.00053 Ir
-2.33419 -1.66731 0.50054 Ir
-6.00089 -1.00060 3.00053 Ir
-4.33419 -0.66731 0.50054 Ir
-5.00089 -1.00060 3.00053 Ir
-3.33419 -0.66731 0.50054 Ir
-4.00089 -1.00060 3.00053 Ir
-2.33419 -0.66731 0.50054 Ir
-3.00089 -1.00060 3.00053 Ir
-1.33419 -0.66731 0.50054 Ir
-10.00089 -5.00060 3.00053 Ir
-3.33419 0.33269 0.50054 Ir
-9.00089 -5.00060 3.00053 Ir
-2.33419 0.33269 0.50054 Ir
-8.00089 -5.00060 3.00053 Ir
-6.33419 -4.66731 0.50054 Ir
-7.00089 -5.00060 3.00053 Ir
-5.33419 -4.66731 0.50054 Ir
-9.00089 -4.00060 3.00053 Ir
-7.33419 -3.66731 0.50054 Ir
-5.00089 -4.00060 1.00053 Ir
-5.33419 -4.66731 1.50054 Ir
-7.00089 -3.00060 1.00053 Ir
-7.33419 -3.66731 1.50054 Ir
-6.00089 -3.00060 1.00053 Ir
-6.33419 -3.66731 1.50054 Ir
-5.00089 -3.00060 1.00053 Ir
-5.33419 -3.66731 1.50054 Ir
-4.00089 -3.00060 1.00053 Ir
-4.33419 -3.66731 1.50054 Ir
-6.00089 -2.00060 1.00053 Ir
-6.33419 -2.66731 1.50054 Ir
-5.00089 -2.00060 1.00053 Ir
-5.33419 -2.66731 1.50054 Ir
-4.00089 -2.00060 1.00053 Ir
-4.33419 -2.66731 1.50054 Ir
-3.00089 -2.00060 1.00053 Ir
-3.33419 -2.66731 1.50054 Ir
-5.00089 -1.00060 1.00053 Ir
-5.33419 -1.66731 1.50054 Ir
-4.00089 -1.00060 1.00053 Ir
-4.33419 -1.66731 1.50054 Ir
-3.00089 -1.00060 1.00053 Ir
-3.33419 -1.66731 1.50054 Ir
-2.00089 -1.00060 1.00053 Ir
-2.33419 -1.66731 1.50054 Ir
-4.00089 -0.00060 1.00053 Ir
-4.33419 -0.66731 1.50054 Ir
-3.00089 -0.00060 1.00053 Ir
-3.33419 -0.66731 1.50054 Ir
-2.00089 -0.00060 1.00053 Ir
-2.33419 -0.66731 1.50054 Ir
-6.00089 -5.00060 1.00053 Ir
-1.33419 -0.66731 1.50054 Ir
-8.00089 -4.00060 1.00053 Ir
-8.33419 -4.66731 1.50054 Ir
-7.00089 -4.00060 1.00053 Ir
-7.33419 -4.66731 1.50054 Ir
-6.00089 -4.00060 1.00053 Ir
-6.33419 -4.66731 1.50054 Ir
-7.00089 -4.00060 2.00053 Ir
-7.33419 -4.66731 2.50054 Ir
-6.00089 -4.00060 2.00053 Ir
-6.33419 -4.66731 2.50054 Ir
-5.00089 -4.00060 2.00053 Ir
-8.33419 -3.66731 2.50054 Ir
-7.00089 -3.00060 2.00053 Ir
-7.33419 -3.66731 2.50054 Ir
-6.00089 -3.00060 2.00053 Ir
-6.33419 -3.66731 2.50054 Ir
-5.00089 -3.00060 2.00053 Ir
-5.33419 -3.66731 2.50054 Ir
-4.00089 -3.00060 2.00053 Ir
-7.33419 -2.66731 2.50054 Ir
-6.00089 -2.00060 2.00053 Ir
-6.33419 -2.66731 2.50054 Ir
-5.00089 -2.00060 2.00053 Ir
-5.33419 -2.66731 2.50054 Ir
-4.00089 -2.00060 2.00053 Ir
-4.33419 -2.66731 2.50054 Ir
-3.00089 -2.00060 2.00053 Ir
-6.33419 -1.66731 2.50054 Ir
-5.00089 -1.00060 2.00053 Ir
-5.33419 -1.66731 2.50054 Ir
-4.00089 -1.00060 2.00053 Ir
-4.33419 -1.66731 2.50054 Ir
-3.00089 -1.00060 2.00053 Ir
-3.33419 -1.66731 2.50054 Ir
-2.00089 -1.00060 2.00053 Ir
-5.33419 -0.66731 2.50054 Ir
-4.00089 -0.00060 2.00053 Ir
-4.33419 -0.66731 2.50054 Ir
-8.00089 -5.00060 2.00053 Ir
-3.33419 -0.66731 2.50054 Ir
-7.00089 -5.00060 2.00053 Ir
-2.33419 -0.66731 2.50054 Ir
-6.00089 -5.00060 2.00053 Ir
-9.33419 -4.66731 2.50054 Ir
-8.00089 -4.00060 2.00053 Ir
-8.33419 -4.66731 2.50054 Ir
