2.74725 -0.00052 0.00182
-1.37370 2.37913 -0.00290
-0.00262 0.00548 4.46606
-1.00000 1.00000 -0.00000
2.00000 3.00000 -1.00000
-3.00000 -2.00000 -3.00000
-1.92526 0.00511 -3.02139 Ir
-2.28807 -0.67732 -2.46105 Ir
-2.00089 0.99940 -2.99947 Ir
-2.33419 0.33269 -2.49946 Ir
-1.00089 0.99940 -2.99947 Ir
-1.33419 0.33269 -2.49946 Ir
-1.00089 1.99940 -2.99947 Ir
-1.33419 1.33269 -2.49946 Ir
-2.00089 -1.00060 -1.99947 Ir
-0.33419 1.33269 -2.49946 Ir
-2.00089 -0.00060 -1.99947 Ir
-0.33420 2.33268 -2.49946 Ir
-0.99714 0.00690 -1.99947 Ir
-1.33419 -0.66731 -1.49946 Ir
-1.00089 0.99940 -1.99947 Ir
-1.33419 0.33269 -1.49946 Ir
-1.00089 1.99940 -1.99947 Ir
-1.33419 1.33269 -1.49946 Ir
-0.00089 1.99940 -1.99947 Ir
-0.33419 1.33269 -1.49946 Ir
-0.00089 2.99940 -1.99947 Ir
-0.33419 2.33269 -1.49946 Ir
-1.00089 -0.00060 -0.99947 Ir
0.66581 2.33269 -1.49946 Ir
-1.00089 0.99940 -0.99947 Ir
0.66581 3.33269 -1.49946 Ir
-0.00089 0.99940 -0.99947 Ir
-0.33419 0.33269 -0.49946 Ir
-0.00089 1.99940 -0.99947 Ir
-0.33419 1.33269 -0.49946 Ir
0.99911 1.99940 -0.99947 Ir
0.66581 1.33269 -0.49946 Ir
0.99911 2.99940 -0.99947 Ir
-2.33419 0.33269 -3.49946 Ir
-1.00089 0.99940 -3.99947 Ir
-1.33419 0.33269 -3.49946 Ir
-3.00089 -1.00060 -2.99947 Ir
-1.33419 1.33269 -3.49946 Ir
-3.00089 -0.00060 -2.99947 Ir
-3.33419 -0.66731 -2.49946 Ir
