p-0.04_10.875_0 dE= 0.01136
p+0.04_10.875_0 dE= 0.01132
p_uns_0.2_1000_998 dE= 0.46542
actual force   predicted force   difference
-0.02597 -0.03153 0.00555
-0.02681 -0.03825 0.01144
-0.00169 -0.00225 0.00056
0.02752 0.02838 -0.00087
0.00675 0.01015 -0.00340
-0.01720 -0.01486 -0.00234
-0.00090 0.00136 -0.00226
-0.00430 -0.00492 0.00061
0.00010 -0.00076 0.00086
0.00000 0.00216 -0.00216
0.00197 0.00681 -0.00484
0.00095 0.00526 -0.00431
0.00090 -0.00135 0.00226
-0.00430 -0.00491 0.00061
0.00010 -0.00076 0.00086
-0.00000 -0.00215 0.00214
0.00197 0.00681 -0.00484
0.00095 0.00526 -0.00432
0.02597 0.03156 -0.00558
-0.02681 -0.03827 0.01146
-0.00169 -0.00225 0.00056
-0.02752 -0.02832 0.00080
0.00675 0.01012 -0.00337
-0.01720 -0.01478 -0.00242
-0.02011 -0.02121 0.00110
-0.03583 -0.03147 -0.00435
-0.00380 -0.00399 0.00019
-0.00076 0.00406 -0.00482
-0.00370 -0.00869 0.00499
-0.00067 -0.00415 0.00348
-0.00000 0.00001 -0.00001
-0.00632 -0.00256 -0.00376
-0.00052 -0.00076 0.00023
-0.00000 0.00000 -0.00000
0.00064 0.00000 0.00064
-0.00148 0.00000 -0.00148
0.02011 0.02122 -0.00111
-0.03583 -0.03151 -0.00431
-0.00380 -0.00399 0.00019
0.00076 -0.00405 0.00482
-0.00370 -0.00870 0.00499
-0.00067 -0.00413 0.00347
-0.00000 0.00001 -0.00001
-0.00546 -0.00256 -0.00290
-0.00058 -0.00076 0.00018
-0.00000 -0.00001 0.00001
0.00434 0.00021 0.00413
0.00607 -0.00300 0.00907
-0.00335 -0.00889 0.00554
-0.03220 -0.03823 0.00603
-0.00100 -0.00225 0.00125
-0.00091 0.00191 -0.00282
-0.00585 -0.01402 0.00817
-0.00290 -0.00868 0.00578
0.00335 0.00892 -0.00557
-0.03220 -0.03829 0.00609
-0.00100 -0.00225 0.00125
0.00091 -0.00190 0.00281
-0.00585 -0.01403 0.00818
-0.00290 -0.00867 0.00577
0.00076 -0.00135 0.00212
-0.00457 -0.00491 0.00035
0.00009 -0.00076 0.00085
0.00141 0.00000 0.00141
-0.00282 0.00000 -0.00282
0.00135 0.00000 0.00135
-0.00076 0.00136 -0.00213
-0.00457 -0.00492 0.00035
0.00009 -0.00076 0.00085
-0.00141 0.00000 -0.00141
-0.00282 0.00000 -0.00282
0.00135 0.00000 0.00135
-0.00000 -0.00041 0.00041
0.41876 0.43307 -0.01432
0.38490 0.38354 0.00136
-0.00000 0.00001 -0.00001
-0.10319 -0.09739 -0.00581
-0.10024 -0.09317 -0.00706
0.01055 0.01137 -0.00082
-0.00311 -0.00322 0.00012
-0.00215 -0.00225 0.00010
0.01660 0.00956 0.00703
-0.00206 0.00438 -0.00645
-0.01123 -0.00920 -0.00203
-0.00000 0.00004 -0.00004
-0.00101 0.00526 -0.00626
-0.00375 -0.00399 0.00024
-0.00000 0.00000 -0.00000
0.00219 0.00000 0.00219
0.00351 0.00000 0.00351
-0.01055 -0.01127 0.00073
-0.00311 -0.00324 0.00014
-0.00215 -0.00225 0.00010
-0.01660 -0.00956 -0.00703
-0.00206 0.00439 -0.00646
-0.01123 -0.00919 -0.00204
-0.00056 0.00053 -0.00109
-0.00213 -0.00134 -0.00079
0.00204 0.00210 -0.00006
-0.05386 -0.06204 0.00819
-0.03930 -0.04206 0.00276
-0.05557 -0.06701 0.01144
0.00064 0.00000 0.00064
0.00063 0.00000 0.00063
-0.00215 0.00000 -0.00215
-0.00082 -0.00307 0.00224
-0.00156 -0.00875 0.00719
-0.00288 -0.01030 0.00742
-0.00064 0.00000 -0.00064
0.00063 0.00000 0.00063
-0.00215 0.00000 -0.00215
0.00082 0.00309 -0.00226
-0.00156 -0.00875 0.00719
-0.00288 -0.01030 0.00742
0.00056 -0.00053 0.00109
-0.00213 -0.00134 -0.00079
0.00204 0.00209 -0.00005
0.05386 0.06211 -0.00825
-0.03930 -0.04209 0.00279
-0.05557 -0.06710 0.01152
-0.00031 0.00000 -0.00031
-0.00005 0.00000 -0.00005
-0.00013 0.00000 -0.00013
-0.00393 -0.01202 0.00809
-0.00256 -0.00544 0.00289
-0.00067 -0.00089 0.00022
-0.00000 0.00000 -0.00000
-0.00148 0.00000 -0.00148
0.00120 0.00000 0.00120
-0.00000 0.00000 -0.00000
0.00049 0.00000 0.00049
-0.00228 0.00000 -0.00228
0.00031 0.00000 0.00031
-0.00005 0.00000 -0.00005
-0.00013 0.00000 -0.00013
0.00393 0.01203 -0.00810
-0.00256 -0.00545 0.00290
-0.00067 -0.00090 0.00023
-0.00000 0.00000 -0.00000
-0.00216 0.00000 -0.00216
0.00049 0.00000 0.00049
-0.00000 -0.00001 0.00001
-0.01746 -0.00805 -0.00941
-0.01625 -0.01126 -0.00500
0.00101 0.00072 0.00029
0.00098 0.00036 0.00062
0.00536 0.00380 0.00156
-0.00324 -0.00895 0.00570
-0.00213 -0.00171 -0.00042
-0.00017 0.00364 -0.00381
-0.00101 -0.00073 -0.00028
0.00098 0.00036 0.00062
0.00536 0.00380 0.00156
0.00324 0.00895 -0.00571
-0.00213 -0.00172 -0.00041
-0.00017 0.00363 -0.00380
-0.00129 0.00000 -0.00129
0.00094 0.00000 0.00094
-0.00172 0.00000 -0.00172
0.00299 0.00000 0.00299
-0.00186 0.00000 -0.00186
0.00189 0.00000 0.00189
0.00129 0.00000 0.00129
0.00094 0.00000 0.00094
-0.00172 0.00000 -0.00172
-0.00299 0.00000 -0.00299
-0.00186 0.00000 -0.00186
0.00189 0.00000 0.00189
-0.00000 0.00000 -0.00000
-0.00000 -0.00356 0.00355
-0.02647 -0.02859 0.00212
-0.00000 0.00001 -0.00001
0.00477 0.00703 -0.00226
0.00895 0.01130 -0.00235
-0.00158 -0.00137 -0.00020
0.00142 0.00498 -0.00356
0.00317 -0.00033 0.00350
-0.00333 0.00241 -0.00574
0.00912 0.00851 0.00061
-0.00003 -0.00506 0.00503
-0.00000 0.00000 -0.00000
-0.00030 0.00000 -0.00030
0.00047 0.00000 0.00047
-0.00000 0.00000 -0.00000
0.00041 0.00000 0.00041
0.00034 0.00000 0.00034
0.00158 0.00138 0.00020
0.00142 0.00498 -0.00356
0.00317 -0.00033 0.00351
0.00333 -0.00241 0.00574
0.00912 0.00852 0.00060
-0.00003 -0.00507 0.00503
-0.00061 -0.00227 0.00166
0.00177 0.00255 -0.00077
0.00393 0.00161 0.00232
-0.00007 0.00000 -0.00007
-0.00036 0.00000 -0.00036
0.00061 0.00000 0.00061
-0.00134 0.00000 -0.00134
-0.00061 0.00000 -0.00061
-0.00074 0.00000 -0.00074
-0.00068 0.00000 -0.00068
0.00007 0.00000 0.00007
-0.00071 0.00000 -0.00071
0.00134 0.00000 0.00134
-0.00061 0.00000 -0.00061
-0.00074 0.00000 -0.00074
0.00068 0.00000 0.00068
0.00007 0.00000 0.00007
-0.00071 0.00000 -0.00071
0.00061 0.00227 -0.00166
0.00177 0.00254 -0.00077
0.00393 0.00161 0.00232
0.00007 0.00000 0.00007
-0.00036 0.00000 -0.00036
0.00061 0.00000 0.00061
0.00042 0.00000 0.00042
0.00005 0.00000 0.00005
-0.00086 0.00000 -0.00086
-0.00010 0.00000 -0.00010
0.00131 0.00000 0.00131
-0.00119 0.00000 -0.00119
-0.00000 0.00000 -0.00000
0.00094 0.00000 0.00094
-0.00307 0.00000 -0.00307
-0.00000 0.00000 -0.00000
-0.00095 0.00000 -0.00095
0.00130 0.00000 0.00130
-0.00042 0.00000 -0.00042
0.00005 0.00000 0.00005
-0.00086 0.00000 -0.00086
0.00010 0.00000 0.00010
0.00131 0.00000 0.00131
-0.00119 0.00000 -0.00119
-0.00000 0.00000 -0.00000
0.00136 0.00000 0.00136
-0.00257 0.00000 -0.00257
-0.00000 0.00000 -0.00000
-0.00070 0.00000 -0.00070
-0.01567 0.00000 -0.01567
-0.00231 -0.00404 0.00173
-0.00124 0.00084 -0.00209
0.00110 -0.00009 0.00119
0.00034 0.00000 0.00034
0.00017 0.00000 0.00017
-0.00041 0.00000 -0.00041
0.00231 0.00404 -0.00173
-0.00124 0.00084 -0.00209
0.00110 -0.00009 0.00119
-0.00034 0.00000 -0.00034
0.00017 0.00000 0.00017
-0.00041 0.00000 -0.00041
0.00172 0.00000 0.00172
-0.00083 0.00000 -0.00083
-0.00106 0.00000 -0.00106
0.00040 0.00000 0.00040
-0.00044 0.00000 -0.00044
-0.00126 0.00000 -0.00126
-0.00172 0.00000 -0.00172
-0.00083 0.00000 -0.00083
-0.00106 0.00000 -0.00106
-0.00040 0.00000 -0.00040
-0.00044 0.00000 -0.00044
-0.00126 0.00000 -0.00126
-0.00000 0.00000 -0.00000
0.00013 -0.00356 0.00369
-0.02736 -0.02859 0.00123
-0.00000 0.00000 -0.00000
-0.00016 0.00000 -0.00016
-0.00045 0.00000 -0.00045
0.00139 0.00059 0.00080
-0.00012 0.00061 -0.00072
0.00431 0.00404 0.00027
0.00088 0.00000 0.00088
0.00151 0.00000 0.00151
-0.01634 0.00000 -0.01634
-0.00000 0.00000 -0.00000
0.00044 0.00000 0.00044
-0.00138 0.00000 -0.00138
-0.00000 0.00000 -0.00000
0.00021 0.00000 0.00021
-0.00191 0.00000 -0.00191
-0.00139 -0.00059 -0.00080
-0.00012 0.00061 -0.00072
0.00431 0.00404 0.00027
-0.00088 0.00000 -0.00088
0.00151 0.00000 0.00151
-0.01634 0.00000 -0.01634
0.03001 0.03157 -0.00156
0.03158 0.03828 -0.00670
0.00037 0.00225 -0.00188
-0.02551 -0.02833 0.00282
-0.00616 -0.01012 0.00396
0.01278 0.01477 -0.00199
0.00074 -0.00135 0.00209
0.00458 0.00491 -0.00034
-0.00081 0.00076 -0.00156
-0.00032 -0.00214 0.00182
-0.00211 -0.00681 0.00470
-0.00005 -0.00526 0.00522
-0.00074 0.00136 -0.00210
0.00458 0.00492 -0.00034
-0.00081 0.00076 -0.00156
