-5.48477 4.75011 -4.35416
-5.48579 -4.75191 4.35350
5.48634 4.75385 4.35621
-2.00000 -0.00000 -1.00000
0.00000 2.00000 -0.00000
0.00000 0.00000 -2.00000
-0.49923 0.50232 -1.99911 Ir
-0.74925 0.24942 -1.99830 Ir
-0.12528 0.62397 -1.75164 Ir
-0.12690 0.12573 -1.25028 Ir
-0.87430 0.87253 -1.75400 Ir
-0.37548 0.87216 -1.25048 Ir
-0.87557 0.38000 -1.24796 Ir
-0.54204 0.62655 -1.66578 Ir
-0.79143 0.37559 -1.66518 Ir
-0.04312 0.12423 -1.66767 Ir
-0.16570 0.74852 -1.41655 Ir
-0.66489 0.24998 -1.41743 Ir
-0.54075 0.12426 -1.16750 Ir
-0.16635 0.25110 -1.91507 Ir
-0.91674 0.99892 -1.41765 Ir
-0.41773 0.99984 -1.91489 Ir
-0.25104 0.74749 -1.00308 Ru
-0.99911 0.99712 -1.00151 Ru
-0.37506 0.37512 -1.74737 Ru
-0.62468 0.12359 -1.75087 Ru
-0.25047 0.25245 -1.49854 Ru
-0.49930 2.00033 -1.50229 Ru
-0.75088 0.74841 -1.50013 Ru
-1.99978 0.50170 -2.49651 Ru
-0.62460 0.62692 -1.24887 Ru
-0.29225 0.87665 -1.66714 Ru
-0.41660 0.49756 -1.41688 Ru
-0.29149 0.37557 -1.16857 Ru
-0.79145 0.87346 -1.16636 Ru
-0.04283 0.62455 -1.16711 Ru
-0.66578 0.75251 -1.91600 Ru
-0.91657 0.50141 -1.91597 Ru
-0.49923 1.50232 -1.99911 Ir
-0.74925 1.24942 -1.99830 Ir
-0.12528 1.62397 -1.75164 Ir
-0.12691 1.12573 -1.25028 Ir
-0.87430 1.87253 -1.75401 Ir
-0.37548 1.87216 -1.25047 Ir
-0.87557 1.38000 -1.24796 Ir
-0.54204 1.62655 -1.66578 Ir
-0.79143 1.37559 -1.66518 Ir
-0.04312 1.12423 -1.66767 Ir
-0.16570 1.74852 -1.41655 Ir
-0.66489 1.24998 -1.41743 Ir
-0.54075 1.12426 -1.16750 Ir
-0.16635 1.25110 -1.91507 Ir
-0.91674 1.99892 -1.41765 Ir
-0.41773 1.99984 -1.91489 Ir
-0.25104 1.74749 -1.00308 Ru
-0.99911 1.99712 -1.00151 Ru
-0.37506 1.37512 -1.74737 Ru
-0.62468 1.12359 -1.75087 Ru
-0.25047 1.25245 -1.49854 Ru
-0.49930 1.00033 -1.50229 Ru
-0.75088 1.74841 -1.50013 Ru
-1.99978 1.50170 -2.49651 Ru
-0.62460 1.62692 -1.24887 Ru
-0.29225 1.87665 -1.66714 Ru
-0.41660 1.49756 -1.41688 Ru
-0.29149 1.37557 -1.16857 Ru
-0.79145 1.87346 -1.16636 Ru
-0.04283 1.62455 -1.16711 Ru
-0.66578 1.75251 -1.91600 Ru
-0.91657 1.50141 -1.91597 Ru
-0.49923 0.50232 -0.99911 Ir
-0.74925 0.24942 -0.99830 Ir
-0.12528 0.62397 -0.75164 Ir
-0.12691 0.12573 -0.25028 Ir
-0.87430 0.87253 -0.75400 Ir
-0.37548 0.87216 -0.25048 Ir
-0.87557 0.38000 -2.24796 Ir
-0.54204 0.62655 -0.66578 Ir
