-5.48477 4.75011 -4.35416
-5.48579 -4.75191 4.3535
5.48634 4.75385 4.35621
1 0 5.55112e-17
1.49349e-17 1 -5.55112e-17
-4.24194e-17 0 1
0.500773 0.50232 0.000891976 Ir
0.250748 0.249422 0.0017034 Ir
0.874724 0.623974 0.248358 Ir
0.873095 0.125734 0.749724 Ir
0.125702 0.872533 0.245995 Ir
0.62452 0.872165 0.749525 Ir
0.124425 0.379999 0.752042 Ir
0.45796 0.626554 0.33422 Ir
0.208569 0.375593 0.334823 Ir
0.956883 0.124233 0.332334 Ir
0.834303 0.748518 0.58345 Ir
0.335113 0.249984 0.582565 Ir
0.459251 0.12426 0.832503 Ir
0.833651 0.2511 0.084928 Ir
0.0832624 0.998921 0.582352 Ir
0.582266 0.999841 0.0851115 Ir
0.748964 0.747495 0.99692 Ru
0.000887089 0.997118 0.998492 Ru
0.62494 0.375116 0.252633 Ru
0.375323 0.123595 0.249131 Ru
0.749527 0.252455 0.501461 Ru
0.500698 0.000328999 0.497712 Ru
0.249115 0.74841 0.499874 Ru
1.00022 0.501704 0.503487 Ru
0.3754 0.626921 0.751126 Ru
0.707745 0.876647 0.332862 Ru
0.583402 0.497563 0.583117 Ru
0.708507 0.375568 0.831432 Ru
0.20855 0.87346 0.833637 Ru
0.957168 0.624547 0.832885 Ru
0.334215 0.752508 0.0840031 Ru
0.0834257 0.501411 0.0840338 Ru
